drugbank_id,interactant_id,action
DB00001,BE0000048,inhibitor
DB00002,BE0000767,binder
DB00002,BE0000901,binder
DB00002,BE0002094,binder
DB00002,BE0002095,binder
DB00002,BE0002096,binder
DB00002,BE0002097,binder
DB00002,BE0000710,binder
DB00002,BE0002098,binder
DB00003,BE0012829,other
DB00004,BE0000658,ligand
DB00004,BE0000651,ligand
DB00005,BE0000704,inhibitor
DB00005,BE0000704,antibody
DB00005,BE0001087,antibody
DB00005,BE0000710,ligand
DB00005,BE0002098,ligand
DB00005,BE0002099,ligand
DB00005,BE0002100,ligand
DB00005,BE0002097,ligand
DB00005,BE0000901,ligand
DB00005,BE0009995,ligand
DB00006,BE0000048,inhibitor
DB00007,BE0000203,agonist
DB00007,BE0010526,activator
DB00008,BE0000385,agonist
DB00008,BE0000661,agonist
DB00009,BE0000211,activator
DB00009,BE0000538,binder
DB00009,BE0002092,binder
DB00010,BE0000625,agonist
DB00011,BE0000661,agonist
DB00011,BE0000385,agonist
DB00012,BE0000654,agonist
DB00013,BE0000211,activator
DB00013,BE0000717,inducer
DB00013,BE0000717,modulator
DB00013,BE0000240,substrate
DB00013,BE0000240,inducer
DB00013,BE0000969,substrate
DB00013,BE0000969,inducer
DB00013,BE0002112,substrate
DB00013,BE0000942,substrate
DB00013,BE0001656,substrate
DB00013,BE0002113,ligand
DB00014,BE0000134,agonist
DB00014,BE0010526,activator
DB00014,BE0000203,agonist
DB00015,BE0000211,activator
DB00016,BE0000654,agonist
DB00017,BE0000431,agonist
DB00018,BE0000661,agonist
DB00018,BE0000385,agonist
DB00019,BE0000793,agonist
DB00020,BE0000628,agonist
DB00020,BE0001036,agonist
DB00020,BE0002115,agonist
DB00020,BE0002116,agonist
DB00022,BE0000661,agonist
DB00022,BE0000385,agonist
DB00023,BE0004798,other/unknown
DB00024,BE0000490,agonist
DB00025,BE0000216,activator
DB00025,BE0000364,cofactor
DB00025,BE0001043,binder
DB00025,BE0002117,antagonist
DB00025,BE0002118,binder
DB00025,BE0001098,chaperone
DB00025,BE0002109,chaperone
DB00025,BE0001011,chaperone
DB00025,BE0002119,chaperone
DB00025,BE0002110,modulator
DB00025,BE0002120,modulator
DB00026,BE0000565,antagonist
DB00027,BE0000803,binder
DB00028,BE0000710,antagonist
DB00028,BE0004684,antagonist
DB00028,BE0002098,antagonist
DB00028,BE0002099,antagonist
DB00028,BE0002100,antagonist
DB00028,BE0002097,antagonist
DB00028,BE0000901,antagonist
DB00028,BE0003455,binder
DB00028,BE0004685,binder
DB00028,BE0004686,binder
DB00028,BE0000855,binder
DB00029,BE0000211,activator
DB00030,BE0000033,agonist
DB00030,BE0000858,activator
DB00030,BE0001123,modulator
DB00030,BE0001123,product of
DB00030,BE0001147,downregulator
