drugbank_id,interactant_id,name,organism,known_action
DB00023,BE0000537,Thyroxine-binding globulin,Humans,no
DB00059,BE0000537,Thyroxine-binding globulin,Humans,no
DB00070,BE0000530,Albumin,Humans,unknown
DB00080,BE0000530,Albumin,Humans,no
DB00080,BE0000925,Alpha-1-acid glycoprotein 1,Humans,no
DB00080,BE0000952,Alpha-1-antitrypsin,Humans,no
DB00080,BE0000499,Low-density lipoprotein receptor,Humans,no
DB00080,BE0000685,Sex hormone-binding globulin,Humans,no
DB00080,BE0009909,Hemopexin,Humans,no
DB00083,BE0000530,Albumin,Humans,unknown
DB00104,BE0000530,Albumin,Humans,unknown
DB00107,BE0000751,Oxytocin-neurophysin 1,Humans,unknown
DB00126,BE0000530,Albumin,Humans,unknown
DB00132,BE0001821,"Fatty acid-binding protein, brain",Humans,unknown
DB00136,BE0001141,Vitamin D-binding protein,Humans,no
DB00137,BE0000530,Albumin,Humans,unknown
DB00152,BE0000530,Albumin,Humans,unknown
DB00153,BE0001141,Vitamin D-binding protein,Humans,no
DB00154,BE0001821,"Fatty acid-binding protein, brain",Humans,unknown
DB00159,BE0000530,Albumin,Humans,no
DB00162,BE0000530,Albumin,Humans,unknown
DB00162,BE0000786,Retinaldehyde-binding protein 1,Humans,unknown
DB00162,BE0000255,Retinol-binding protein 3,Humans,unknown
DB00162,BE0000301,Retinol-binding protein 1,Humans,unknown
DB00162,BE0000682,Retinol-binding protein 5,Humans,unknown
DB00162,BE0000532,Retinoid-binding protein 7,Humans,unknown
DB00162,BE0000314,Retinol-binding protein 4,Humans,unknown
DB00162,BE0000505,Retinol-binding protein 2,Humans,unknown
DB00163,BE0000256,SEC14-like protein 2,Humans,unknown
DB00163,BE0000339,SEC14-like protein 3,Humans,unknown
DB00163,BE0009656,Phospholipid transfer protein,Humans,unknown
DB00163,BE0000643,Alpha-tocopherol transfer protein,Humans,unknown
DB00165,BE0000530,Albumin,Humans,unknown
DB00169,BE0001141,Vitamin D-binding protein,Humans,no
DB00180,BE0000209,Corticosteroid-binding globulin,Humans,no
DB00200,BE0000362,Transcobalamin-2,Humans,unknown
DB00214,BE0000530,Albumin,Humans,unknown
DB00220,BE0000530,Albumin,Humans,no
DB00220,BE0000925,Alpha-1-acid glycoprotein 1,Humans,no
DB00227,BE0000530,Albumin,Humans,no
