drugbank_id,interactant_id,name,organism,known_action
DB00006,BE0001075,Myeloperoxidase,Humans,unknown
DB00008,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00011,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00013,BE0001198,Macrophage metalloelastase,Humans,unknown
DB00018,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00019,BE0000394,Neutrophil elastase,Humans,no
DB00022,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00022,BE0002363,Cytochrome P450 2D6,Humans,unknown
DB00022,BE0002793,Cytochrome P450 2C9,Humans,unknown
DB00025,BE0000048,Prothrombin,Humans,unknown
DB00025,BE0000380,Vitamin K-dependent protein C,Humans,unknown
DB00030,BE0001183,Insulin-degrading enzyme,Humans,unknown
DB00030,BE0002124,Neuroendocrine convertase 2,Humans,unknown
DB00030,BE0002125,Neuroendocrine convertase 1,Humans,unknown
DB00030,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00033,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00034,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00035,BE0000262,Prostaglandin G/H synthase 2,Humans,unknown
DB00035,BE0000017,Prostaglandin G/H synthase 1,Humans,unknown
DB00041,BE0000262,Prostaglandin G/H synthase 2,Humans,unknown
DB00041,BE0000657,Cytosolic phospholipase A2,Humans,unknown
DB00041,BE0002638,Cytochrome P450 3A4,Humans,unknown
DB00041,BE0002204,Xanthine dehydrogenase/oxidase,Humans,unknown
DB00041,BE0003533,Cytochrome P450 2E1,Humans,unknown
DB00046,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00046,BE0001183,Insulin-degrading enzyme,Humans,unknown
DB00047,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00052,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00052,BE0003536,Cytochrome P450 2C19,Humans,unknown
DB00060,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00068,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00069,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00071,BE0002433,Cytochrome P450 1A2,Humans,unknown
DB00071,BE0001183,Insulin-degrading enzyme,Humans,unknown
DB00082,BE0000549,"Sterol 26-hydroxylase, mitochondrial",Humans,unknown
DB00082,BE0002240,Glutamine synthetase,Humans,unknown
DB00082,BE0002638,Cytochrome P450 3A4,Humans,unknown
