drugbank_id,interactant_id,name,organism,known_action
DB00027,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB00052,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB00067,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00080,BE0001032,ATP-dependent translocase ABCB1,Humans,no
DB00091,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB00091,BE0000703,Bile salt export pump,Humans,unknown
DB00091,BE0003643,Ileal sodium/bile acid cotransporter,Humans,unknown
DB00091,BE0003644,Hepatic sodium/bile acid cotransporter,Humans,unknown
DB00091,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB00091,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB00091,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00091,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB00091,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB00091,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no
DB00103,BE0004494,Cation-dependent mannose-6-phosphate receptor,Humans,unknown
DB00104,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB00104,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00107,BE0010032,Advanced glycosylation end product-specific receptor,Humans,unknown
DB00115,BE0000340,Protein amnionless,Humans,unknown
DB00115,BE0000238,Transcobalamin-1,Humans,unknown
DB00115,BE0000362,Transcobalamin-2,Humans,unknown
DB00115,BE0004690,Cobalamin binding intrinsic factor,Humans,unknown
DB00115,BE0000936,Cubilin,Humans,unknown
DB00115,BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown
DB00115,BE0000785,Multidrug resistance-associated protein 1,Humans,unknown
DB00116,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00117,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00119,BE0000440,Monocarboxylate transporter 2,Humans,unknown
DB00119,BE0000669,Monocarboxylate transporter 1,Humans,unknown
DB00119,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00119,BE0003655,Solute carrier organic anion transporter family member 2A1,Humans,unknown
DB00119,BE0000449,Monocarboxylate transporter 4,Humans,unknown
DB00120,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00121,BE0000094,Sodium-dependent multivitamin transporter,Humans,unknown
DB00121,BE0004708,Sodium-coupled monocarboxylate transporter 1,Humans,unknown
DB00122,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB00122,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB00122,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB00122,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00122,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB00122,BE0001059,Choline transporter-like protein 1,Humans,unknown
DB00122,BE0002182,Choline transporter-like protein 4,Humans,unknown
DB00122,BE0002183,Choline transporter-like protein 2,Humans,unknown
DB00122,BE0002184,Choline transporter-like protein 3,Humans,unknown
DB00122,BE0000696,High affinity choline transporter 1,Humans,unknown
DB00123,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00123,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB00125,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00125,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00125,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB00126,BE0000168,Solute carrier family 23 member 1,Humans,unknown
DB00126,BE0009869,Solute carrier family 23 member 2,Humans,unknown
DB00126,BE0001057,"Solute carrier family 2, facilitated glucose transporter member 1",Humans,unknown
DB00126,BE0004707,"Solute carrier family 2, facilitated glucose transporter member 3",Humans,unknown
DB00126,BE0000893,"Solute carrier family 2, facilitated glucose transporter member 4",Humans,unknown
DB00127,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB00127,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB00128,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00130,BE0009870,Sodium-coupled neutral amino acid symporter 1,Humans,unknown
DB00130,BE0009871,Sodium-coupled neutral amino acid symporter 2,Humans,unknown
DB00130,BE0000285,Sodium-coupled neutral amino acid transporter 3,Humans,unknown
DB00130,BE0000236,Neutral amino acid transporter B(0),Humans,unknown
DB00130,BE0000423,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),Humans,unknown
DB00130,BE0004769,Y+L amino acid transporter 1,Humans,unknown
DB00130,BE0009872,Y+L amino acid transporter 2,Humans,unknown
DB00130,BE0000222,Large neutral amino acids transporter small subunit 1,Humans,unknown
DB00130,BE0000789,Large neutral amino acids transporter small subunit 2,Humans,unknown
DB00130,BE0002251,"b(0,+)-type amino acid transporter 1",Humans,unknown
DB00130,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00133,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00134,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00135,BE0000178,Monocarboxylate transporter 8,Humans,unknown
DB00135,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00138,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00138,BE0002251,"b(0,+)-type amino acid transporter 1",Humans,unknown
DB00138,BE0001130,Amino acid transporter heavy chain SLC3A1,Humans,unknown
DB00139,BE0003645,Organic anion transporter 3,Humans,unknown
DB00139,BE0002261,Mitochondrial dicarboxylate carrier,Humans,unknown
DB00139,BE0000022,Solute carrier family 13 member 1,Humans,unknown
DB00139,BE0000447,Solute carrier family 13 member 2,Humans,unknown
DB00139,BE0000611,Na(+)/dicarboxylate cotransporter 3,Humans,unknown
DB00140,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB00142,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00142,BE0000669,Monocarboxylate transporter 1,Humans,unknown
DB00142,BE0002275,Mitochondrial glutamate carrier 2,Humans,unknown
DB00142,BE0002276,Mitochondrial glutamate carrier 1,Humans,unknown
DB00143,BE0000785,Multidrug resistance-associated protein 1,Humans,unknown
DB00143,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00143,BE0001061,ATP-binding cassette sub-family C member 3,Humans,unknown
DB00143,BE0001188,ATP-binding cassette sub-family C member 4,Humans,unknown
DB00143,BE0003639,ATP-binding cassette sub-family C member 5,Humans,unknown
DB00145,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00145,BE0000536,Proton-coupled amino acid transporter 1,Humans,unknown
DB00145,BE0002308,Vesicular inhibitory amino acid transporter,Humans,unknown
DB00145,BE0002310,Sodium- and chloride-dependent glycine transporter 2,Humans,unknown
DB00145,BE0000940,Sodium- and chloride-dependent glycine transporter 1,Humans,unknown
DB00148,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00149,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00149,BE0000178,Monocarboxylate transporter 8,Humans,unknown
DB00150,BE0000178,Monocarboxylate transporter 8,Humans,unknown
DB00150,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00151,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00152,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB00152,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB00152,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00152,BE0003530,Thiamine transporter 1,Humans,unknown
DB00152,BE0000963,Thiamine transporter 2,Humans,unknown
DB00155,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB00156,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00158,BE0003658,ATP-binding cassette sub-family C member 11,Humans,unknown
DB00158,BE0001061,ATP-binding cassette sub-family C member 3,Humans,unknown
DB00158,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB00158,BE0001188,ATP-binding cassette sub-family C member 4,Humans,unknown
DB00158,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB00158,BE0001048,Proton-coupled folate transporter,Humans,unknown
DB00158,BE0000730,Solute carrier family 25 member 32,Humans,unknown
DB00160,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00161,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00162,BE0009879,Receptor for retinol uptake STRA6,Humans,unknown
DB00163,BE0000189,Scavenger receptor class B member 1,Humans,unknown
DB00163,BE0000119,Phospholipid-transporting ATPase ABCA1,Humans,unknown
DB00163,BE0000802,NPC1-like intracellular cholesterol transporter 1,Humans,unknown
DB00163,BE0001168,ATP-binding cassette sub-family G member 1,Humans,unknown
DB00165,BE0003546,"Alkaline phosphatase, tissue-nonspecific isozyme",Humans,unknown
DB00167,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00168,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB00168,BE0003645,Organic anion transporter 3,Humans,unknown
DB00168,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB00172,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00174,BE0003654,Monocarboxylate transporter 10,Humans,unknown
DB00175,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,no
DB00175,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,no
DB00175,BE0001032,ATP-dependent translocase ABCB1,Humans,no
DB00175,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,no
DB00175,BE0001066,Solute carrier family 22 member 6,Humans,no
DB00175,BE0003645,Organic anion transporter 3,Humans,no
DB00175,BE0001069,ATP-binding cassette sub-family C member 2,Humans,no
DB00175,BE0000879,Solute carrier family 22 member 11,Humans,no
DB00175,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,no
DB00175,BE0003646,Solute carrier family 22 member 7,Humans,no
DB00175,BE0000669,Monocarboxylate transporter 1,Humans,no
DB00175,BE0000703,Bile salt export pump,Humans,no
DB00175,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no
DB00176,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB00176,BE0000703,Bile salt export pump,Humans,no
DB00177,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB00177,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB00177,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB00178,BE0001018,Solute carrier family 15 member 1,Humans,unknown
DB00178,BE0001134,Solute carrier family 15 member 2,Humans,unknown
DB00182,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB00182,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00184,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB00184,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB00184,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB00184,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB00184,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB00188,BE0001032,ATP-dependent translocase ABCB1,Humans,no
