drugbank_id,reaction_id,sequence,left_element_drug_id,left_element_name,right_element_drug_id,right_element_name
DB00001,DB00001_rxn_0,1,DB00001,Lepirudin,DBMET03462,M1 (1-64)
DB00001,DB00001_rxn_1,2,DBMET03462,M1 (1-64),DBMET03463,M2 (1-63)
DB00001,DB00001_rxn_2,3,DBMET03463,M2 (1-63),DBMET03464,M3 (1-62)
DB00001,DB00001_rxn_3,4,DBMET03464,M3 (1-62),DBMET03465,M4 (1-61)
DB00047,DB00047_rxn_0,1,DB00047,Insulin glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin
DB00047,DB00047_rxn_1,1,DB00047,Insulin glargine,DBMET00787,A21-Gly-insulin
DB00091,DB00091_rxn_0,1,DB00091,Cyclosporine,DBMET02955,Cyclosporine AM-4N
DB00091,DB00091_rxn_1,1,DB00091,Cyclosporine,DBMET02217,Cyclosporine M-1 (AM-9)
DB00091,DB00091_rxn_2,1,DB00091,Cyclosporine,DBMET00359,Cyclosporine M-17 (AM-1)
DB00115,DB00115_rxn_0,1,DB00115,Cyanocobalamin,DB03614,Mecobalamin
DB00118,DB00118_rxn_0,1,DB00118,Ademetionine,DBMET00503,Cysteine
DB00118,DB00118_rxn_1,1,DB00118,Ademetionine,DBMET00506,Methionine
DB00118,DB00118_rxn_2,1,DB00118,Ademetionine,DBMET00508,Homocysteine
DB00118,DB00118_rxn_3,1,DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine
DB00118,DB00118_rxn_4,1,DB00118,Ademetionine,DBMET00486,Cystathionine
DB00121,DB00121_rxn_0,1,DB00121,Biotin,DBMET03072,Biotin Holocarboxylase Metabolite
DB00121,DB00121_rxn_1,2,DBMET03072,Biotin Holocarboxylase Metabolite,DBMET03073,Biocytin
DB00121,DB00121_rxn_2,3,DBMET03073,Biocytin,DB00121,Biotin
DB00126,DB00126_rxn_0,1,DB00126,Ascorbic acid,DBMET00799,ascorbic acid-2-sulfate
DB00126,DB00126_rxn_1,1,DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate
