drugbank_id,name,company
DB00003,Viscozyme,Roche (Chile)
DB00005,Davictrel,
DB00005,Tunex,
DB00006,Angiox,
DB00006,Hirulog,
DB00007,Camcevi,Foresee Pharmaceuticals
DB00007,Leuplin,Takeda
DB00007,LeuProMaxx,Baxter/Teva
DB00007,Memryte,Curaxis
DB00007,Prostap 3,Takeda UK
DB00007,Prostap SR,Takeda UK
DB00010,Geref,Serono Pharma
DB00011,Wellferon,GlaxoSmithKline
DB00013,Abbokinase,Abbott Laboratories
DB00016,Epobel,"Nobel Ilac Pazarlama ve Sanayii Ltd. STI., Turkey"
DB00016,Epocept,Lupin pharma
DB00016,Epofit,Intas pharma
DB00016,Epogin,Chugai
DB00016,Eqralys,Hemofarm AD
DB00016,Nanokine,"Nanogen Pharmaceutical biotechnology, Vietnam)"
DB00017,Calcimar,
DB00018,Alferon,
DB00018,Alferon N,
DB00020,Leucomax,Novartis
DB00022,PEG-Intron,Schering Corp
DB00025,Bioclate,
DB00025,Helixate,
DB00025,Hyate:C,
DB00025,Koate-HP,
DB00025,Kogenate,
DB00025,Monarc-M,
DB00025,ReFacto,
DB00027,Sofradex,Sanofi
DB00028,ClairYg,
DB00029,Eminase,Wulfing Pharma GmbH
DB00033,Immukin,
DB00034,Roferon A,Hoffmann-La Roche Inc
DB00034,Veldona,Amarillo Biosciences
DB00035,Adiuretin,Ferring
DB00035,DesmoMelt,Ferring
DB00042,Neurobloc,Solstice Neurosciences
DB00045,LYMErix,SmithKline Beecham
DB00047,Lantus R,
DB00047,Lusduna Nexvue,
DB00047,Optisulin,
DB00047,Semglee,Mylan Pharmaceuticals Inc.
DB00048,Cordase,
DB00051,Amjevita,"Amgen, Inc."
DB00051,Cyltezo,"Boehringer Ingelheim Pharmaceuticals, Inc."
DB00051,Humira Pen,Abbott Laboratories
DB00052,BioTropin,Biotech General
DB00057,OncoScint ,"Cytogen Corp, Lonza Biologics"
DB00058,Aralast,Baxter
DB00058,Prolastin,Talecris Biotherapeutics C formerly Bayer
DB00059,Oncaspar,Servier Pharmaceuticals
DB00060,Betaferon,Bayer
DB00060,Blastoferon,Sidus
DB00060,Uribeta,Probiomed
DB00065,Avsola,Amgen
DB00066,Cinnal-F,
DB00069,Advaferon,
DB00070,Diffusin,
DB00070,Enzodase,
DB00070,Hyazyme,
DB00070,Wydase,
DB00072,Herclon,Roche
DB00073,MabThera,Roche
DB00073,Riabni,
DB00075,Orthoclone OKT3,Janssen-Cilag
DB00080,Cidecin,
DB00080,Cubicin,
DB00085,Cotazym,Organon
DB00085,Ku-Zyme,Koichi
DB00085,Pancrease,Ortho-McNeil
DB00085,Ultrase,Axcan Scandipharm
DB00085,Ultresa (delayed-release enteric coated capsules),APTALIS PHARMA US
DB00085,Viokace (tablets),APTALIS PHARMA US
DB00085,Zymase,Organon
DB00089,ProstaScint,Cytogen Corp.
DB00091,Sangcya,Sangstat Medical Corp.
DB00091,Verkazia,Santen Inc.
DB00093,Colupressine,Joullie
DB00093,Octapressin,Sandoz
DB00094,Fertinex,Serono S.A.
DB00094,Metrodin,Serum Inst.
DB00095,Xanelim,
DB00097,Profasi,Serono S.A.
DB00098,ATG-Fresenius,Fresenius SE
DB00098,ATG-Fresenius S,Fresenius SE
DB00099,Biocilin,
DB00099,Biofigran,
DB00099,Biofilgran,
DB00099,Endufil,
DB00099,Filatil,
DB00099,Filgen,
DB00099,Gran,
DB00099,Granulokine,
DB00099,Grimatin,
DB00099,Inmunef,
DB00099,Jiexin,
DB00099,Leucogen,
DB00099,Leucostim,
DB00099,Macroleuco,
DB00099,Neukine,
DB00099,Neutromax,
DB00099,Neutroval ,Sicor Biotech
DB00099,Recombicyte,
DB00099,SciLocyte,
DB00099,Tevagastrim,
DB00099,White-C,
DB00099,Zarzio,
DB00104,Sandostatin LAR,Novartis Pharmaceuticals
DB00105,Locteron,
DB00106,Plenaxis,Praecis Pharmaceuticals
DB00108,Antegren,
DB00113,CEA-Scan,Immunomedics Inc
DB00114,Biosechs,
DB00114,Himitan,
DB00114,Vitazechs,
DB00115,Bedodeka,Teva
DB00115,Bedoz,
DB00115,Berubigen,Upjohn
DB00115,Betalin,Lilly
DB00115,Cobione,MSD
DB00115,Cobolin-M,
DB00115,Crystamine,
DB00115,Cyanoject,
DB00115,Cyomin,
DB00115,Cytakon,GlaxoSmithKline
DB00115,Cytamen,GlaxoSmithKline
DB00115,Dicopac,
DB00115,Neuroforte-R,
DB00115,Primabalt,
DB00115,Vitabee 12,
DB00118,Donamet,
DB00118,Sam-Sulfate,Natrol
DB00118,SAMe,
DB00118,SAMe Rx-Mood,Nature's Plus
DB00121,Appearex,
DB00121,Biodermatin,
DB00121,Bioepiderm,
DB00121,Meribin,
DB00121,Nail-ex,
DB00125,R-Gene 10,Pharmacia Corp.
DB00126,Ascoltin,
DB00126,Ascorbicap,
DB00130,Earthlink Science Glutamine Chews Chocolate,Amerifit
DB00130,Glutamine Express,Genetic Evolutionary Nutrition
DB00130,Glutamine Fuel Mega,Twinlab
DB00130,Glutamine Fuel Powder ,Twinlab
DB00130,L-Glutamine Power,Champion Nutrition
DB00131,My-B-Den,
DB00134,Acimethin,
DB00136,Asentar,Novacea
DB00136,Calcitriol Oral Solution,Roxane
DB00136,Decostriol,"Mibe Jena (Germany), Jesalis (Hong Kong, Thailand)"
DB00140,Bisulase,
DB00143,Isethion,
DB00144,LifeExtension PS Caps,
DB00145,Gyn-Hydralin,
DB00146,Calderol,Upjohn
DB00146,Caldiol,Medica
DB00146,De Kai,China Otsuka
DB00146,Dedrogyl,Desma
DB00146,Dédrogyl,DB
DB00146,Didrogyl,Bruno Farm.
DB00146,Hidroferol,Faes
DB00150,Alti-Tryptophan,
DB00151,Nouress,
DB00152,Betalin S,Eli Lilly
DB00152,Biamine,
DB00153,Deltalin,Lilly
DB00154,Star GLA,GNC
DB00154,Tona-lean 1000 CLA,Action Labs
DB00158,Acfol,Cazi
DB00158,Fefol,GlaxoSmithKline
DB00162,Alphalin,
DB00162,Chocola A,
DB00163,Amino-Opti-E,
DB00163,Aquasol E,
DB00165,Becilan,
DB00165,Beesix,
DB00165,Benadon,
DB00165,Bonasanit,
DB00165,Hexa-Betalin,
DB00165,Hexobion,
DB00165,Nestrex,
DB00166,Biletan,
DB00168,Aminosweet,Ajinomoto
DB00168,Canderel,Merisant
DB00168,Equal,Merisant
DB00168,Nutrasweet,NutraSweet
DB00169,Delta-D,
DB00169,Micro-D,
DB00169,Optimal-D,"RV Nutritional, LLC"
DB00169,Vigantol,
DB00170,Synkavite,
DB00171,Atriphos,Biochimica
DB00171,Striadyne,Auclair
DB00173,Leuco-4,
DB00175,Elisor,Baowei Technology Group
DB00175,Lipostat,Bristol-Myers Squibb
DB00175,Mevalotin,Daiichi Sankyo
DB00175,Pravaselect,
DB00175,Selipran,Bristol-Myers Squibb
DB00176,Dumirox,Abbott
DB00176,Faverin,Abbott
DB00176,Fevarin,Abbott
DB00176,Floxyfral,Abbott
DB00176,Maveral,Abbott
DB00178,Acovil,Sanofi-Aventis (Spain)
DB00178,Carasel,Almirall (Spain)
DB00178,Cardace,"Sanofi-Aventis (Finland), Aventis (India), Aventis (Indonesia)"
DB00178,Delix,"Aventis (Germany, Turkey), "
DB00178,Hypren,AstraZeneca (Austria)
DB00178,Lostapres,Temis (Argentina)
DB00178,Pramace,"Astra (Ireland), AstraZeneca (Sweden)"
DB00178,Quark,Polifarma (Italy)
DB00178,Triatec,"Sanofi-Aventis (Brazil, Chili, Denmark, France, Greece, Indonesia, Italy,Norway, Portugal, Sweden, Switzerland)"
DB00178,Tritace,"Sanofi-Aventis (Argentina, Australia, Austria, Belgium, Czech Republic, Hong Kong, Hungary, Ireland, Israel, Malaysia, Mexico, Netherlands, Poland, Singapor, Thailand, United Kingdom), Aventis (New Zealand, Philippines, South Africa)"
DB00178,Vesdil,"AstraZeneca (Germany), Promed (Germany)"
DB00179,Actinex,
DB00180,Bronalide,Krewel
DB00180,Nasalide,Teva Santé
DB00180,Syntaris,Teva
DB00181,Baclon,Uniao Quimica (Brazil)
DB00181,Lioresal Intrathecal,Novartis Pharmaceuticals
DB00181,Nu-Baclofen,Nu-Pharm
DB00183,Peptavlon,
DB00184,Habitrol,
DB00184,Nicoderm,
DB00185,Saligren,
DB00186,Almazine,Psyco Remedies
DB00186,Anxiedin,U-Liang
DB00186,Idalprem,Novartis
DB00186,Lorabenz,
DB00186,Lorsilan,Belupo
DB00186,Somagerol,
DB00186,Temesta,Wyeth
DB00186,Wypax,Wyeth KK
DB00189,Arvynol,Pfizer
DB00189,Nostel,Dainippon
DB00189,Placidyl,Abbott
DB00189,Roeridorm,Pfizer-Roerig
DB00189,Serenesil,Abbott
DB00191,Dapex,Fernidale Labs
DB00191,Duromine,iNova Pharmaceuticals
DB00191,Fastin,Hi-Tech Pharmaceuticals
DB00191,Obenix,Jones Pharma
DB00191,Obestin-30,Fernidale Labs
DB00191,Oby-trim,Rexar
DB00191,Phentercot,Truven Health Analytics Inc
DB00191,Phentride,Truven Health Analytics Inc
DB00191,Umi-Pex,Fernidale Labs
DB00192,Decabid,Eli Lilly
DB00193,Rybix,Shionogi Inc.
DB00193,Tramal,Grünenthal GmbH
DB00194,Arasena-A,
DB00195,Betaxon,
DB00196,Elazor,
DB00196,Flucazol,
DB00196,Flucostat,
DB00196,Flunizol,
DB00196,Pritenzol,
DB00196,Trican,
DB00196,Triflucan,
DB00197,Noscal,
DB00197,Resulin,
DB00197,Rezulin,
DB00197,Romozin,
DB00198,Tamiflu,
DB00199,Ilosone,Cipa
DB00200,Alpha-Redisol,Merck
DB00200,Hydrocobamine,Nycomed
DB00201,Caffedrine,
DB00201,Dexitac,
DB00201,Durvitan,
DB00201,Enerjets,
DB00201,No-Doz,
DB00201,Pep-Back,
DB00201,Quick Pep,
DB00201,Wake-Up,
DB00202,Scoline,
DB00202,Sucostrin,
DB00206,Apoplon,
DB00206,Hiserpia,
DB00206,Novoreserpine,
DB00206,Reserfia,
DB00206,Serpalan,
DB00206,Serpanray,
DB00206,Serpasil,
DB00207,Azenil,
DB00207,Azibiot,
DB00207,Azifast,
DB00207,Azigram,
DB00207,Azimakrol,
DB00207,Azin,
DB00207,Azithrocin,
DB00207,Azitromax,
DB00207,Azitromin,
DB00207,Aztrin,
DB00207,Hemomycin,
DB00207,Misultina,
DB00207,Penalox,
DB00207,Sumamed,
DB00207,Vinzam,
DB00207,Zifin,
DB00207,Zitrocin,
DB00207,Zitrotek,
DB00209,Flotros,
DB00209,Regurin,
DB00209,Spasmex,
DB00209,Spasmolyt,
DB00209,Spasmoplex,
DB00209,Tropez OD,
DB00210,Adaferin,
DB00210,Differine,
DB00213,Pantozol,
DB00214,Britomar,Ferrer
DB00214,Diuver,Pliva
DB00214,Examide,Apex
DB00214,Luprac,Tanabe Mitshubishi Pharma
DB00214,Soaanz,Sarfez Pharmaceuticals
DB00214,Torem,Berlin-Chemie
DB00214,Trifas,Meranini
DB00215,Akarin,
DB00215,Celapram,
DB00215,Ciazil,
DB00215,Cilift,
DB00215,Cipram,
DB00215,Cipramil,
DB00215,Ciprapine,
DB00215,Citabax,
DB00215,Citadur,
DB00215,Citalec,
DB00215,Citol,
DB00215,Citopam,
DB00215,Citox,
DB00215,Citrol,
DB00215,Dalsan,
DB00215,Elopram,
DB00215,Humorup,
DB00215,Oropram,
DB00215,Pramcit,
DB00215,Recital,
DB00215,Seropram,
DB00215,Talam,
DB00215,Talohexal,
DB00215,Temperax,
DB00215,Vodelax,
DB00215,Zentius,
DB00215,Zetalo,
DB00217,Esbatal,
DB00219,A-Spasm,
DB00219,Antispasmin,
DB00219,Antrenex,
DB00219,Antrenyl,
DB00219,Atrenex,
DB00219,Spasmophen,
DB00221,Bronkometer,
DB00221,Bronkosol,
DB00222,GLIMPID,Ranbaxy Laboratories
DB00222,GLIMY,Dr.Reddy's Labs
DB00223,Florone E,
DB00223,Maxiflor,
DB00224,Crixivan,
DB00226,Anarel,Cutter
DB00226,Hylorel,Pennwalt
DB00227,Altocor,Andrx
DB00228,Alyrane,Baxter
DB00228,Compound 347,Dexa Medica
DB00228,Endurane,Singapore Pharmawealth Lifesciences
DB00228,Enfluran,Cristália
DB00229,Ceradon,
DB00229,Pansporin,Takeda Pharmaceutical
DB00231,Euhypnos,
DB00231,Norkotral,
DB00231,Normison,
DB00231,Nortem,
DB00231,Remestan,
DB00231,Temaze,
DB00231,Temtabs,
DB00232,Aquatensen,
DB00232,Duretic,
DB00232,Enduron,
DB00233,Pamisyl,Parke-Davis
DB00233,Rexipas,Bristol-Myers Squibb
DB00233,Rezipas,Bristol-Myers Squibb
DB00234,Davedax,
DB00234,Edronax,
DB00234,Norebox,
DB00234,Prolift,
DB00234,Solvex,
DB00234,Vestra,
DB00235,Corotrop,
DB00235,Corotrope,
DB00235,Milrila,
