drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB00091,DB00091_rxn_0,BE0002638,P08684
DB00091,DB00091_rxn_0,BE0002362,P20815
DB00091,DB00091_rxn_1,BE0002638,P08684
DB00091,DB00091_rxn_1,BE0002362,P20815
DB00091,DB00091_rxn_2,BE0002638,P08684
DB00091,DB00091_rxn_2,BE0002362,P20815
DB00130,DB00130_rxn_0,BE0002240,P15104
DB00130,DB00130_rxn_0,BE0000003,Q9UI32
DB00130,DB00130_rxn_0,BE0000825,O94925
DB00145,DB00145_rxn_0,BE0000618,P23378
DB00145,DB00145_rxn_0,BE0002302,P23434
DB00145,DB00145_rxn_1,BE0000010,P48728
DB00145,DB00145_rxn_1,BE0002302,P23434
DB00145,DB00145_rxn_2,BE0000737,P09622
DB00145,DB00145_rxn_2,BE0002302,P23434
DB00153,DB00153_rxn_0,BE0000524,Q6VVX0
DB00153,DB00153_rxn_1,BE0000443,O15528
DB00153,DB00153_rxn_1,BE0002250,Q07973
DB00153,DB00153_rxn_2,BE0009671,Q96AT9
DB00153,DB00153_rxn_3,BE0003537,P05108
DB00153,DB00153_rxn_4,BE0000443,O15528
DB00153,DB00153_rxn_4,BE0002250,Q07973
DB00158,DB00158_rxn_0,BE0000330,P00374
DB00158,DB00158_rxn_1,BE0000330,P00374
DB00158,DB00158_rxn_2,BE0000268,P13995
DB00158,DB00158_rxn_3,BE0002176,P42898
DB00158,DB00158_rxn_4,BE0000734,Q99707
DB00162,DB00162_rxn_0,BE0003543,P04798
DB00162,DB00162_rxn_0,BE0002433,P05177
DB00162,DB00162_rxn_0,BE0002638,P08684
DB00162,DB00162_rxn_0,BE0001111,Q16678
DB00163,DB00163_rxn_0,BE0002638,P08684
DB00163,DB00163_rxn_0,BE0004727,P78329
DB00169,DB00169_rxn_1,BE0000524,Q6VVX0
DB00169,DB00169_rxn_2,BE0000443,O15528
DB00176,DB00176_rxn_0,BE0002363,P10635
DB00176,DB00176_rxn_0,BE0002433,P05177
DB00176,DB00176_rxn_1,BE0002433,P05177
DB00177,DB00177_rxn_0,BE0002793,P11712
DB00178,DB00178_rxn_2,BE0009561,
DB00182,DB00182_rxn_0,BE0002363,P10635
DB00182,DB00182_rxn_1,BE0002363,P10635
DB00184,DB00184_rxn_1,BE0003336,P11509
DB00184,DB00184_rxn_1,BE0003549,P20813
DB00184,DB00184_rxn_4,BE0003544,P22310
DB00184,DB00184_rxn_4,BE0003538,O60656
DB00184,DB00184_rxn_6,BE0003606,P31513
DB00184,DB00184_rxn_9,BE0003336,P11509
DB00184,DB00184_rxn_9,BE0003549,P20813
DB00184,DB00184_rxn_9,BE0002638,P08684
DB00184,DB00184_rxn_10,BE0003336,P11509
DB00184,DB00184_rxn_11,BE0003539,Q06278
DB00184,DB00184_rxn_13,BE0003336,P11509
DB00184,DB00184_rxn_15,BE0003606,P31513
DB00184,DB00184_rxn_16,BE0003544,P22310
DB00184,DB00184_rxn_16,BE0003538,O60656
DB00185,DB00185_rxn_0,BE0002638,P08684
DB00185,DB00185_rxn_0,BE0002363,P10635
DB00185,DB00185_rxn_1,BE0002638,P08684
DB00185,DB00185_rxn_2,BE0002363,P10635
DB00185,DB00185_rxn_3,BE0003609,Q01740
DB00188,DB00188_rxn_0,BE0002793,P11712
DB00188,DB00188_rxn_0,BE0003536,P33261
DB00188,DB00188_rxn_0,BE0002363,P10635
DB00188,DB00188_rxn_0,BE0002638,P08684
DB00188,DB00188_rxn_1,BE0002793,P11712
DB00188,DB00188_rxn_1,BE0003536,P33261
DB00188,DB00188_rxn_1,BE0002363,P10635
DB00188,DB00188_rxn_1,BE0002638,P08684
DB00188,DB00188_rxn_3,BE0002638,P08684
DB00188,DB00188_rxn_3,BE0003536,P33261
DB00188,DB00188_rxn_3,BE0002433,P05177
DB00188,DB00188_rxn_3,BE0002363,P10635
DB00188,DB00188_rxn_4,BE0002638,P08684
DB00188,DB00188_rxn_4,BE0003536,P33261
DB00188,DB00188_rxn_4,BE0002433,P05177
DB00188,DB00188_rxn_4,BE0002363,P10635
DB00188,DB00188_rxn_9,BE0002638,P08684
DB00193,DB00193_rxn_0,BE0002363,P10635
DB00193,DB00193_rxn_1,BE0002638,P08684
DB00193,DB00193_rxn_1,BE0003549,P20813
DB00193,DB00193_rxn_2,BE0003679,P16662
DB00193,DB00193_rxn_2,BE0003682,Q9HAW9
DB00193,DB00193_rxn_3,BE0002363,P10635
DB00193,DB00193_rxn_4,BE0002363,P10635
DB00193,DB00193_rxn_5,BE0002638,P08684
DB00193,DB00193_rxn_5,BE0003549,P20813
DB00196,DB00196_rxn_0,BE0003679,P16662
DB00196,DB00196_rxn_1,BE0002638,P08684
DB00198,DB00198_rxn_0,BE0002705,P23141
DB00199,DB00199_rxn_0,BE0002638,P08684
DB00201,DB00201_rxn_0,BE0002433,P05177
DB00201,DB00201_rxn_0,BE0003533,P05181
DB00201,DB00201_rxn_1,BE0002433,P05177
DB00201,DB00201_rxn_1,BE0003533,P05181
DB00201,DB00201_rxn_1,BE0002887,P10632
DB00201,DB00201_rxn_1,BE0002793,P11712
DB00201,DB00201_rxn_1,BE0002638,P08684
DB00201,DB00201_rxn_2,BE0002887,P10632
DB00201,DB00201_rxn_2,BE0002793,P11712
DB00201,DB00201_rxn_2,BE0002638,P08684
DB00201,DB00201_rxn_2,BE0002433,P05177
DB00201,DB00201_rxn_2,BE0003533,P05181
DB00201,DB00201_rxn_3,BE0002433,P05177
DB00201,DB00201_rxn_4,BE0002433,P05177
