drugbank_id,name,cas_number,unii
DB00007,Leuprolide acetate,74381-53-6,37JNS02E7V
DB00007,Leuprolide mesylate,944347-41-5,8E3C3C493W
DB00010,Sermorelin acetate,114466-38-5,00IBG87IQW
DB00014,Goserelin acetate,145781-92-6,6YUU2PV0U8
DB00030,Insulin human zinc suspension,,
DB00030,NPH insulin,53027-39-7,
DB00035,Desmopressin acetate,62357-86-2,XB13HYU18U
DB00035,Desmopressin acetate anhydrous,62288-83-9,1K12647SFC
DB00040,Glucagon hydrochloride,19179-82-9,1H87NVF4DB
DB00050,Cetrorelix acetate,130143-01-0,W9Y8L7GP4C
DB00067,Argipressin,113-79-1,Y4907O6MFD
DB00071,Insulin suspension isophane purified pork,,
DB00071,Insulin suspension protamine zinc purified pork,,
DB00071,Insulin zinc suspension prompt purified pork,,
DB00071,Insulin zinc suspension purified pork,,
DB00078,Indium In-111 ibritumomab tiuxetan,,S9U4ZR2W8V
DB00078,Yttrium y-90 ibritumomab tiuxetan,,QA846JAV5B
DB00081,Tositumomab I-131,,K1KT5M40JC
DB00104,Octreotide acetate,79517-01-4,75R0U2568I
DB00104,Octreotide pamoate,135467-16-2,MWH8YQ1AIO
DB00114,Pyridoxal phosphate hydrate,41468-25-1,5V5IOJ8338
DB00117,Copper histidine,13870-80-9,9078K3MO9U
DB00117,Histidine monohydrochloride monohydrate,5934-29-2,X573657P6P
DB00118,Ademetionine butanedisulfonate,200393-05-1,C5BTS0548U
DB00118,Ademetionine disulfate ditosylate,,
DB00118,Ademetionine disulfate monotosylate,,
DB00118,Ademetionine disulfate tosylate,97540-22-2,564ROC9U09
DB00118,Ademetionine tosylate,,
DB00119,Calcium pyruvate,,9V2CQZ19N4
DB00119,Methylselenopyruvate,,
DB00119,Sodium pyruvate,113-24-6,POD38AIF08
DB00120,Phenylalanine hydrochloride,17585-69-2,L6O14A5L6Q
DB00120,Phenylalanine sodium,16480-57-2,M67R83MDEE
DB00122,Choline bitartrate,87-67-2,6K2W7T9V6Y
DB00122,Choline chloride,67-48-1,45I14D8O27
DB00123,Lysine acetate,57282-49-2,TTL6G7LIWZ
DB00123,Lysine dihydrate,,
DB00123,Lysine hydrochloride,657-27-2,JNJ23Q2COM
DB00123,Lysine monohydrate,39665-12-8,F7625B974U
DB00125,Arginine butyrate,80407-72-3,IK8S1P79MU
DB00125,Arginine hydrochloride,1119-34-2,F7LTH1E20Y
DB00127,Spermine dihydrate,403982-64-9,
DB00129,Ornithine aspartate,3230-94-2,JA08T3B97O
DB00129,Ornithine dihydrochloride,6211-16-1,8N284L2VLC
DB00129,Ornithine hydrochloride,3184-13-2,HBK84K66XH
DB00129,Ornithine oxoglurate,5191-97-9,4FEN49K96W
DB00130,Glutamine sodium,73477-31-3,IA7707HOQ8
DB00134,Methionine hydrochloride,6810-12-4,99JNR46OKX
DB00140,Riboflavin sodium,7681-29-0,04SRR95RP8
DB00142,Glutamic acid hydrochloride,138-15-8,M0C2SP444T
DB00146,Calcifediol hydrate,63283-36-3,P6YZ13C99Q
DB00147,Pyridoxal hydrochloride,65-22-5,1416KF0QBC
DB00148,Creatine monohydrate,6020-87-7,9603LN7R2Q
DB00149,L-Leucine hydrochloride,760-84-9,N39KV97633
DB00151,Cysteine hydrochloride,7048-04-6,ZT934N0X4W
DB00152,Thiamine chloride,59-43-8,X66NSO3N35
DB00152,Thiamine hydrochloride,67-03-8,M572600E5P
DB00152,Thiamine mononitrate,532-43-4,8K0I04919X
DB00154,Sodium dihomo-gamma-linolenate,65881-87-0,DIY57A1X5I
DB00155,Citrulline malate,70796-17-7,PAB4036KHO
DB00158,Folate sodium,6484-89-5,9P9W8GGU78
DB00159,Icosapent sodium,73167-03-0,5PXN91KPRO
