drugbank_id,interactant_id,polypeptide_id,synonym
DB00027,BE0001032,P08183,ATP-binding cassette sub-family B member 1
DB00027,BE0001032,P08183,MDR1
DB00027,BE0001032,P08183,Multidrug resistance protein 1
DB00027,BE0001032,P08183,P-glycoprotein 1
DB00027,BE0001032,P08183,PGY1
DB00027,BE0001032,P08183,Phospholipid transporter ABCB1
DB00052,BE0001032,P08183,ATP-binding cassette sub-family B member 1
DB00052,BE0001032,P08183,MDR1
DB00052,BE0001032,P08183,Multidrug resistance protein 1
DB00052,BE0001032,P08183,P-glycoprotein 1
DB00052,BE0001032,P08183,PGY1
DB00052,BE0001032,P08183,Phospholipid transporter ABCB1
DB00067,BE0001069,Q92887,7.6.2.-
DB00067,BE0001069,Q92887,7.6.2.2
DB00067,BE0001069,Q92887,7.6.2.3
DB00067,BE0001069,Q92887,Canalicular multidrug resistance protein
DB00067,BE0001069,Q92887,Canalicular multispecific organic anion transporter 1
DB00067,BE0001069,Q92887,CMOAT
DB00067,BE0001069,Q92887,CMOAT1
DB00067,BE0001069,Q92887,CMRP
DB00067,BE0001069,Q92887,MRP2
DB00067,BE0001069,Q92887,Multidrug resistance-associated protein 2
DB00080,BE0001032,P08183,ATP-binding cassette sub-family B member 1
DB00080,BE0001032,P08183,MDR1
DB00080,BE0001032,P08183,Multidrug resistance protein 1
DB00080,BE0001032,P08183,P-glycoprotein 1
DB00080,BE0001032,P08183,PGY1
DB00080,BE0001032,P08183,Phospholipid transporter ABCB1
DB00091,BE0001032,P08183,ATP-binding cassette sub-family B member 1
DB00091,BE0001032,P08183,MDR1
DB00091,BE0001032,P08183,Multidrug resistance protein 1
DB00091,BE0001032,P08183,P-glycoprotein 1
DB00091,BE0001032,P08183,PGY1
DB00091,BE0001032,P08183,Phospholipid transporter ABCB1
DB00091,BE0000703,O95342,7.6.2.-
DB00091,BE0000703,O95342,ATP-binding cassette sub-family B member 11
DB00091,BE0000703,O95342,BSEP
DB00091,BE0003643,Q12908,Apical sodium-dependent bile acid transporter
DB00091,BE0003643,Q12908,ASBT
DB00091,BE0003643,Q12908,IBAT
DB00091,BE0003643,Q12908,Ileal Na(+)/bile acid cotransporter
DB00091,BE0003643,Q12908,Ileal sodium-dependent bile acid transporter
