drugbank_id,synonym,language,coder
DB00001,"[Leu1, Thr2]-63-desulfohirudin",english,
DB00001,Desulfatohirudin,english,
DB00001,Hirudin variant-1,english,
DB00001,Lepirudin,english,inn
DB00001,Lepirudin recombinant,english,
DB00001,R-hirudin,english,
DB00002,Cetuximab,english/spanish/german,inn/usan
DB00002,Cétuximab,french,inn
DB00002,Cetuximabum,latin,inn
DB00003,Deoxyribonuclease (human clone 18-1 protein moiety),english,
DB00003,Dornasa alfa,spanish,
DB00003,Dornase alfa,english,inn/jan/usan
DB00003,"Dornase alfa, recombinant",english,
DB00003,Dornase alpha,english,
DB00003,Recombinant deoxyribonuclease (DNAse),english,
DB00004,DAB(SUB 389)IL2,english,
DB00004,Denileukin,english,
DB00004,Denileukin diftitox,english,inn/usan
DB00004,Interleukin-2/diptheria toxin fusion protein,english,
DB00004,N-L-METHIONYL-387-L-HISTIDINE-388-L-ALANINE-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE STRAIN C7) (388->2') PROTEIN WITH 2-133-INTERLEUKIN 2 (HUMAN CLONE PTIL2-21A),english,
DB00004,N-MET-187-HIS-388-ALA-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE C7) WITH 1-133-INTERLEUKIN 2,english,
DB00005,Etanercept,english,inn/ban/usan
DB00005,etanercept-szzs,english,
DB00005,etanercept-ykro,english,
DB00005,Recombinant human TNF,english,
DB00005,rhu TNFR:Fc,english,
DB00005,rhu-TNFR:Fc,english,
DB00005,TNFR-Immunoadhesin,english,
DB00006,Bivalirudin,english,inn/usan
DB00006,Bivalirudina,spanish,
DB00006,Bivalirudinum,latin,
DB00007,Leuprorelin,english,inn/ban
DB00007,Leuprorelina,spanish,inn
DB00007,Leuproreline,french,inn
DB00007,Leuprorelinum,latin,inn
DB00008,PEG-IFN alfa-2A,english,
DB00008,PEG-Interferon alfa-2A,english,
DB00008,Peginterferon alfa-2a,english,inn/ban/jan/usan
DB00008,Pegylated Interfeaon alfa-2A,english,
DB00008,Pegylated interferon alfa-2a,english,
DB00008,Pegylated interferon alpha-2a,english,
DB00008,Pegylated-interferon alfa 2a,english,
DB00009,Alteplasa,spanish,
DB00009,Alteplase,english,inn/usan/usp
DB00009,Alteplase (genetical recombination),english,
DB00009,"Alteplase, recombinant",english,
DB00009,"Alteplase,recombinant",english,
DB00009,Plasminogen activator (human tissue-type protein moiety),english,
DB00009,rt-PA,english,
DB00009,t-PA,english,
DB00009,t-plasminogen activator,english,
DB00009,Tissue plasminogen activator,english,
DB00009,Tissue plasminogen activator alteplase,english,
DB00009,"Tissue plasminogen activator, recombinant",english,
DB00009,tPA,english,
DB00010,Sermorelin,english,inn
DB00011,Interferon alfa-n1,english,usan
DB00011,Interferon alpha-n1 (INS),english,
DB00011,WELL-FERON,english,
DB00011,WELLFERON,english,
DB00012,Darbepoetin,english,
DB00012,Darbepoetin alfa,english,inn/jan/usan
DB00012,"Darbepoetin alfa,recombinant",english,
DB00012,Darbepoetina alfa,spanish,
DB00013,"Kinase (enzyme-activating), uro-urokinase",english,
DB00013,TCUK,english,
DB00013,Tissue culture urokinase,english,
DB00013,Two-chain urokinase,english,
DB00013,Urochinasi,italian,
DB00013,Urokinase,english,inn/usan
DB00013,Urokinasum,latin,inn
DB00013,Uroquinasa,spanish,inn
DB00014,Goserelin,english,inn/usan
DB00014,Goserelina,spanish,
DB00015,Human t-PA (residues 1-3 and 176-527),english,
DB00015,Reteplasa,spanish,
DB00015,Reteplase,english,inn/usan
DB00015,"Reteplase, recombinant",english,
DB00015,"Reteplase,recombinant",english,
DB00016,"1-165-Erythropoietin (human clone λHEPOFL13 protein moiety), glycoform α",english,
DB00016,E.P.O.,english,
DB00016,EPOETIN,english,
DB00016,Epoetin alfa,english,
DB00016,Epoetin alfa rDNA,english,
DB00016,Epoetin alfa-epbx,english,
DB00016,"Epoetin alfa, recombinant",english,
DB00016,Epoetin epsilon,english,
DB00016,Epoetin gamma,english,
DB00016,Epoetin gamma rDNA,english,
DB00016,Epoetin kappa,english,
DB00016,Epoetin omega,english,
DB00016,Epoetin theta,english,
DB00016,Epoetin zeta,english/german,
DB00016,Epoetina alfa,spanish,
DB00016,Epoetina dseta,spanish,
DB00016,Epoetina zeta,spanish,
DB00016,Epoétine zêta,french,
DB00016,Epoetinum zeta,latin,
DB00016,Erythropoiesis stimulating factor,english,
DB00016,"Erythropoietin (human, recombinant)",english,
DB00016,Erythropoietin (recombinant human),english,
DB00016,ESF,english,
DB00016,RECOMBINANT HUMAN ERYTHROPOIETIN ALFA,english,
DB00016,SH-polypeptide-72,english,
DB00017,Calcitonin (Salmon Synthetic),english,
DB00017,Calcitonin salmon,english,
DB00017,Calcitonin salmon recombinant,english,
DB00017,Calcitonin-salmon,english,
DB00017,"Calcitonin, salmon",english,
DB00017,Calcitonina salmón sintética,spanish,
DB00017,Recombinant salmon calcitonin,english,
DB00017,Salmon calcitonin,english,
DB00018,Interferon alfa-n3,english,usan
DB00019,Granulocyte colony-stimulating factor pegfilgrastim,english,
DB00019,peg-filgrastim,english,
DB00019,Pegfilgrastim,english,inn/jan/usan
DB00019,pegfilgrastim-apgf,english,
DB00019,pegfilgrastim-bmez,english,
DB00019,pegfilgrastim-cbqv,english,
DB00019,pegfilgrastim-jmdb,english,
DB00020,Recombinant human granulocyte-macrophage colony stimulating factor,english,
DB00020,rGM-CSF,english,
DB00020,rHu GM-CSF,english,
DB00020,Sargramostim,english,inn/jan/usan/usp
DB00022,Peginterferon alfa-2b,english,inn/jan/usan
DB00023,Asparaginase,english,
DB00023,Asparaginase (E. coli),english,
DB00023,Colaspase,english,ban
DB00023,Escherichia coli L-asparaginase,english,
DB00023,L-asparaginase,english,
DB00023,L-asparagine amidohydrolase,english,
DB00024,Recombinant Human Thyroid Stimulating Hormone,english,
DB00024,Recombinant thyrotropin alfa,english,
DB00024,rhTSH,english,
DB00024,rTSH,english,
DB00024,Thyrotropin alfa,english,inn/usan
DB00024,Thyrotropin alpha,english,
DB00025,Antihemophilic factor (recombinant),english,
DB00025,Antihemophilic factor recombinant,english,
DB00025,"Antihemophilic factor, human recombinant",english,
DB00025,"Antihemophilic factor, recombinant",english,
DB00025,"Coagulation factor VIII, recombinant",english,
DB00025,Factor VIII (rDNA),english,
DB00025,Factor VIII (Recombinant),english,
DB00025,Factor VIII recombin,english,
DB00025,"Factor VIII, recombinant",english,
DB00025,Human Factor VIII (Recombinant),english,
DB00025,Human factor VIII recombinant,english,
DB00025,Octocog alfa,english,inn
DB00025,rAHF,english,
DB00025,Recombinant antihemophilic factor VIII,english,
DB00026,Anakinra,english,inn/usan
DB00026,IL-1RA,english,
DB00026,Interleukin-1 receptor antagonist anakinra,english,
DB00027,Bacillus brevis gramicidin D,english,
DB00027,Gramicidin,english,
DB00027,Gramicidin A,english,
DB00027,Gramicidin B,english,
DB00027,Gramicidin C,english,
DB00027,Gramicidina,spanish,
DB00027,Gramicidine,english,
DB00028,Aerosolized pooled immune globulin,english,
DB00028,Human gammaglobulin,english,
DB00028,Human IGG,english,
DB00028,Human immunoglobulin G,english,
DB00028,Human normal immunoglobulin,english,
DB00028,Immune globulin (human),english,
DB00028,Immune globulin human,english,
DB00028,Immunoglobulin (human),english,
DB00028,Immunoglobulin G (human),english,
DB00028,"Immunoglobulin G, human",english,
DB00028,Intravenous immune globulin (human),english,
DB00028,Intravenous immunoglobulin (IVIg),english,
DB00029,Anisoylated plasminogen streptokinase activator complex,english,
DB00029,Anistreplase,english,inn/usan
DB00029,APSAC,english,
DB00030,High molecular weight insulin human,english,
DB00030,Human insulin,english,
DB00030,human insulin (rDNA),english,
DB00030,Insulin (human),english,
DB00030,Insulin human,english,inn/ban/usan/usp
DB00030,Insulin human [rDNA origin],english,
DB00030,Insulin Human Regular,english,
DB00030,Insulin human regular (rDNA),english,
DB00030,"Insulin human, rDNA origin",english,
