drugbank_id,interactant_id,polypeptide_id,name,general_function,specific_function,gene_name,locus,molecular_weight,organism_id,organism_name
DB00023,BE0000537,P05543,Thyroxine-binding globulin,Major thyroid hormone transport protein in serum,serine-type endopeptidase inhibitor activity,SERPINA7,Xq22.3,46324.12,9606,Humans
DB00059,BE0000537,P05543,Thyroxine-binding globulin,Major thyroid hormone transport protein in serum,serine-type endopeptidase inhibitor activity,SERPINA7,Xq22.3,46324.12,9606,Humans
DB00070,BE0000530,P02768,Albumin,"Binds water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable). Its main function is the regulation of the colloidal osmotic pressure of blood (Probable). Major zinc transporter in plasma, typically binds about 80% of all plasma zinc (PubMed:19021548). Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific manner (By similarity). The shared binding site between zinc and calcium at residue Asp-273 suggests a crosstalk between zinc and calcium transport in the blood (By similarity). The rank order of affinity is zinc > calcium > magnesium (By similarity). Binds to the bacterial siderophore enterobactin and inhibits enterobactin-mediated iron uptake of E.coli from ferric transferrin, and may thereby limit the utilization of iron and growth of enteric bacteria such as E.coli (PubMed:6234017). Does not prevent iron uptake by the bacterial siderophore aerobactin (PubMed:6234017)",antioxidant activity,ALB,4q13.3,69365.94,9606,Humans
DB00080,BE0000530,P02768,Albumin,"Binds water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable). Its main function is the regulation of the colloidal osmotic pressure of blood (Probable). Major zinc transporter in plasma, typically binds about 80% of all plasma zinc (PubMed:19021548). Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific manner (By similarity). The shared binding site between zinc and calcium at residue Asp-273 suggests a crosstalk between zinc and calcium transport in the blood (By similarity). The rank order of affinity is zinc > calcium > magnesium (By similarity). Binds to the bacterial siderophore enterobactin and inhibits enterobactin-mediated iron uptake of E.coli from ferric transferrin, and may thereby limit the utilization of iron and growth of enteric bacteria such as E.coli (PubMed:6234017). Does not prevent iron uptake by the bacterial siderophore aerobactin (PubMed:6234017)",antioxidant activity,ALB,4q13.3,69365.94,9606,Humans
DB00080,BE0000925,P02763,Alpha-1-acid glycoprotein 1,Functions as a transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction,,ORM1,9q32,23539.43,9606,Humans
DB00080,BE0000952,P01009,Alpha-1-antitrypsin,"Inhibitor of serine proteases. Its primary target is elastase, but it also has a moderate affinity for plasmin and thrombin. Irreversibly inhibits trypsin, chymotrypsin and plasminogen activator. The aberrant form inhibits insulin-induced NO synthesis in platelets, decreases coagulation time and has proteolytic activity against insulin and plasmin",identical protein binding,SERPINA1,14q32.13,46736.195,9606,Humans
DB00080,BE0000499,P01130,Low-density lipoprotein receptor,"Binds low density lipoprotein /LDL, the major cholesterol-carrying lipoprotein of plasma, and transports it into cells by endocytosis. In order to be internalized, the receptor-ligand complexes must first cluster into clathrin-coated pits. Forms a ternary complex with PGRMC1 and TMEM97 receptors which increases LDLR-mediated LDL internalization (PubMed:30443021)",amyloid-beta binding,LDLR,19p13.2,95375.105,9606,Humans
DB00080,BE0000685,P04278,Sex hormone-binding globulin,"Functions as an androgen transport protein, but may also be involved in receptor mediated processes. Each dimer binds one molecule of steroid. Specific for 5-alpha-dihydrotestosterone, testosterone, and 17-beta-estradiol. Regulates the plasma metabolic clearance rate of steroid hormones by controlling their plasma concentration",androgen binding,SHBG,17p13.1,43778.755,9606,Humans
DB00080,BE0009909,P02790,Hemopexin,"Binds heme and transports it to the liver for breakdown and iron recovery, after which the free hemopexin returns to the circulation",heme transmembrane transporter activity,HPX,11p15.4,51676.015,9606,Humans
DB00083,BE0000530,P02768,Albumin,"Binds water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable). Its main function is the regulation of the colloidal osmotic pressure of blood (Probable). Major zinc transporter in plasma, typically binds about 80% of all plasma zinc (PubMed:19021548). Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific manner (By similarity). The shared binding site between zinc and calcium at residue Asp-273 suggests a crosstalk between zinc and calcium transport in the blood (By similarity). The rank order of affinity is zinc > calcium > magnesium (By similarity). Binds to the bacterial siderophore enterobactin and inhibits enterobactin-mediated iron uptake of E.coli from ferric transferrin, and may thereby limit the utilization of iron and growth of enteric bacteria such as E.coli (PubMed:6234017). Does not prevent iron uptake by the bacterial siderophore aerobactin (PubMed:6234017)",antioxidant activity,ALB,4q13.3,69365.94,9606,Humans
