drugbank_id,protein_name,gene_symbol,description
DB00002,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Patients with this genotype may have increased progression-free survival time when using cetuximab to treat colorectal cancer.
DB00002,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Patients with this genotype have increased progression-free survival time when using cetuximab to treat colorectal cancer.
DB00008,Interferon lambda-3,IFNL3,Patients with this genotype in IFNL3 have a reduced likelihood of achieving sustained virologic response to peginterferon alfa-2a therapy.
DB00022,Interferon lambda-3,IFNL3,Patients with this genotype in IFNL3 have a reduced likelihood of achieving sustained virologic response to peginterferon alfa-2b therapy.
DB00065,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Patients with this genotype have increased ACR20 response when using infliximab to treat rheumatoid arthritis.
DB00073,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,"Patients with this genotype have increased frequency of anti-tumor response when using rituximab to treat diffuse large B-cell lymphoma, follicular lymphoma, or [follicular non-Hodgkin lymphoma]."
DB00175,Kinesin-like protein KIF6,KIF6,Patients with this genotype have a greater reduction in risk of a major cardiovascular event with high dose pravastatin.
DB00175,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,Patients with this genotype have a lesser reduction in LDL cholesterol with pravastatin.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00176,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
DB00178,Angiotensin-converting enzyme,ACE,Patients with this genotype have a shorter time to lowering of blood pressure with ramipril
DB00203,Angiotensin-converting enzyme,ACE,Patients with this genotype have increased frequency of positive erectile response when using sildenafil to treat erectile dysfunction
DB00203,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,GNB3,Patients with this genotype have increased frequency of positive erectile response when using sildenafil to treat erectile dysfunction
DB00215,Multidrug resistance protein 1,ABCB1,Patients with this genotype have an increased likelihood of remission when using citalopram to treat major depressive disorder
DB00215,5-hydroxytryptamine receptor 2A,HTR2A,Patients with this genotype have an increased likelihood of responding to citalopram when treating major depressive disorder
DB00215,"Glutamate receptor ionotropic, kainate 4",GRIK4,Patients with this genotype have an increased likelihood of responding to citalopram when treating major depressive disorder
DB00216,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,GNB3,Patients with this genotype have an increased likelihood of responding to elitriptan when treating (condition: cluster headache).
DB00252,Cytochrome P450 2C9,CYP2C9,Patients with this genotype have reduced metabolism of phenytoin.
DB00264,Beta-1 adrenergic receptor,ADRB1,Patients with this genotype have a greater reduction in blood pressure with metoprolol.
DB00264,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of metoprolol.
DB00264,Beta-1 adrenergic receptor,ADRB1,Patients with this genotype have a greater reduction in blood pressure with metoprolol.
DB00277,Cytochrome P450 1A2,CYP1A2,Patients with this genotype have reduced metabolism of theophylline.
DB00285,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of venlafaxine.
DB00285,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of venlafaxine.
DB00285,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of venlafaxine.
DB00285,Multidrug resistance protein 1,ABCB1,Patients with this genotype have an increased likelihood of remission when using venlafaxine to treat major depressive disorder
DB00285,Multidrug resistance protein 1,ABCB1,Patients with this genotype have increased risk of adverse events with venlafaxine
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 may be associated with reduced metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 is associated with poor metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 is associated with poor metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 is associated with poor metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 may be associated with reduced metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00289,Cytochrome P450 2D6,CYP2D6,The presence of this genotype in CYP2D6 may be associated with reduced metabolism of atomoxetine and more frequent occurrence of adverse events.
DB00290,Bleomycin hydrolase,BLMH,Patients with this genotype have reduced survival time and increased frequency of early relapse when using bleomycin to treat testicular cancer.
DB00295,Multidrug resistance protein 1,ABCB1,Patients with this genotype may have an increased analgesic response to morphine.
DB00295,Mu-type opioid receptor,OPRM1,Patients with this genotype may have an increased analgesic response to morphine.
DB00315,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,GNB3,Patients with this genotype have an increased likelihood of responding to zolmitriptan when treating (condition: cluster headache).
DB00317,Epidermal growth factor receptor,EGFR,The presence of this polymorphism in EGFR is associated with a higher response rate to gefitinib.
DB00317,Epidermal growth factor receptor,EGFR,The presence of this polymorphism in EGFR is associated with a higher response rate to gefitinib.
DB00317,Epidermal growth factor receptor,EGFR,The presence of this polymorphism in EGFR is associated with a higher response rate to gefitinib.
DB00318,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of codeine.
DB00318,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of codeine.
DB00318,Cytochrome P450 2D6,CYP2D6,Patients with this genotype have reduced metabolism of codeine.
DB00318,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 results in non-functioning enzyme variant and may be associated with reduced drug mtabolism or reduced therapeutic response when treated with codeine.
DB00318,Cytochrome P450 2D6,CYP2D6,The presence of this polymorphism in CYP2D6 is associated with poor metabolism of codeine.
