drugbank_id,interactant_id,polypeptide_id,resource,identifier
DB00027,BE0001032,P08183,HUGO Gene Nomenclature Committee (HGNC),HGNC:40
DB00027,BE0001032,P08183,GenAtlas,ABCB1
DB00027,BE0001032,P08183,GeneCards,ABCB1
DB00027,BE0001032,P08183,GenBank Gene Database,M14758
DB00027,BE0001032,P08183,GenBank Protein Database,307180
DB00027,BE0001032,P08183,Guide to Pharmacology,768
DB00027,BE0001032,P08183,UniProtKB,P08183
DB00027,BE0001032,P08183,UniProt Accession,MDR1_HUMAN
DB00052,BE0001032,P08183,HUGO Gene Nomenclature Committee (HGNC),HGNC:40
DB00052,BE0001032,P08183,GenAtlas,ABCB1
DB00052,BE0001032,P08183,GeneCards,ABCB1
DB00052,BE0001032,P08183,GenBank Gene Database,M14758
DB00052,BE0001032,P08183,GenBank Protein Database,307180
DB00052,BE0001032,P08183,Guide to Pharmacology,768
DB00052,BE0001032,P08183,UniProtKB,P08183
DB00052,BE0001032,P08183,UniProt Accession,MDR1_HUMAN
DB00067,BE0001069,Q92887,HUGO Gene Nomenclature Committee (HGNC),HGNC:53
DB00067,BE0001069,Q92887,GenAtlas,ABCC2
DB00067,BE0001069,Q92887,GeneCards,ABCC2
DB00067,BE0001069,Q92887,GenBank Gene Database,U63970
DB00067,BE0001069,Q92887,GenBank Protein Database,1764162
DB00067,BE0001069,Q92887,Guide to Pharmacology,780
DB00067,BE0001069,Q92887,UniProtKB,Q92887
DB00067,BE0001069,Q92887,UniProt Accession,MRP2_HUMAN
DB00080,BE0001032,P08183,HUGO Gene Nomenclature Committee (HGNC),HGNC:40
DB00080,BE0001032,P08183,GenAtlas,ABCB1
DB00080,BE0001032,P08183,GeneCards,ABCB1
DB00080,BE0001032,P08183,GenBank Gene Database,M14758
DB00080,BE0001032,P08183,GenBank Protein Database,307180
DB00080,BE0001032,P08183,Guide to Pharmacology,768
DB00080,BE0001032,P08183,UniProtKB,P08183
DB00080,BE0001032,P08183,UniProt Accession,MDR1_HUMAN
DB00091,BE0001032,P08183,HUGO Gene Nomenclature Committee (HGNC),HGNC:40
DB00091,BE0001032,P08183,GenAtlas,ABCB1
DB00091,BE0001032,P08183,GeneCards,ABCB1
DB00091,BE0001032,P08183,GenBank Gene Database,M14758
DB00091,BE0001032,P08183,GenBank Protein Database,307180
DB00091,BE0001032,P08183,Guide to Pharmacology,768
DB00091,BE0001032,P08183,UniProtKB,P08183
DB00091,BE0001032,P08183,UniProt Accession,MDR1_HUMAN
DB00091,BE0000703,O95342,HUGO Gene Nomenclature Committee (HGNC),HGNC:42
DB00091,BE0000703,O95342,GenAtlas,ABCB11
DB00091,BE0000703,O95342,GeneCards,ABCB11
DB00091,BE0000703,O95342,GenBank Gene Database,AF091582
DB00091,BE0000703,O95342,GenBank Protein Database,3873243
DB00091,BE0000703,O95342,Guide to Pharmacology,778
DB00091,BE0000703,O95342,UniProtKB,O95342
DB00091,BE0000703,O95342,UniProt Accession,ABCBB_HUMAN
DB00091,BE0003643,Q12908,HUGO Gene Nomenclature Committee (HGNC),HGNC:10906
DB00091,BE0003643,Q12908,GeneCards,SLC10A2
DB00091,BE0003643,Q12908,GenBank Gene Database,U10417
DB00091,BE0003643,Q12908,GenBank Protein Database,595399
DB00091,BE0003643,Q12908,Guide to Pharmacology,960
DB00091,BE0003643,Q12908,UniProtKB,Q12908
DB00091,BE0003643,Q12908,UniProt Accession,NTCP2_HUMAN
DB00091,BE0003644,Q14973,HUGO Gene Nomenclature Committee (HGNC),HGNC:10905
DB00091,BE0003644,Q14973,GeneCards,SLC10A1
DB00091,BE0003644,Q14973,GenBank Gene Database,L21893
DB00091,BE0003644,Q14973,GenBank Protein Database,410214
DB00091,BE0003644,Q14973,Guide to Pharmacology,959
DB00091,BE0003644,Q14973,UniProtKB,Q14973
DB00091,BE0003644,Q14973,UniProt Accession,NTCP_HUMAN
DB00091,BE0001066,Q4U2R8,HUGO Gene Nomenclature Committee (HGNC),HGNC:10970
DB00091,BE0001066,Q4U2R8,GenAtlas,hROAT1
DB00091,BE0001066,Q4U2R8,GeneCards,SLC22A6
DB00091,BE0001066,Q4U2R8,GenBank Gene Database,AF057039
DB00091,BE0001066,Q4U2R8,GenBank Protein Database,3831566
DB00091,BE0001066,Q4U2R8,Guide to Pharmacology,1025
DB00091,BE0001066,Q4U2R8,UniProtKB,Q4U2R8
DB00091,BE0001066,Q4U2R8,UniProt Accession,S22A6_HUMAN
DB00091,BE0003651,Q5T3U5,HUGO Gene Nomenclature Committee (HGNC),HGNC:52
DB00091,BE0003651,Q5T3U5,GeneCards,ABCC10
DB00091,BE0003651,Q5T3U5,GenBank Gene Database,AY032599
DB00091,BE0003651,Q5T3U5,GenBank Protein Database,21103955
DB00091,BE0003651,Q5T3U5,UniProtKB,Q5T3U5
DB00091,BE0003651,Q5T3U5,UniProt Accession,MRP7_HUMAN
DB00091,BE0001069,Q92887,HUGO Gene Nomenclature Committee (HGNC),HGNC:53
DB00091,BE0001069,Q92887,GenAtlas,ABCC2
DB00091,BE0001069,Q92887,GeneCards,ABCC2
DB00091,BE0001069,Q92887,GenBank Gene Database,U63970
DB00091,BE0001069,Q92887,GenBank Protein Database,1764162
DB00091,BE0001069,Q92887,Guide to Pharmacology,780
DB00091,BE0001069,Q92887,UniProtKB,Q92887
DB00091,BE0001069,Q92887,UniProt Accession,MRP2_HUMAN
DB00091,BE0001067,Q9UNQ0,HUGO Gene Nomenclature Committee (HGNC),HGNC:74
DB00091,BE0001067,Q9UNQ0,GenAtlas,ABCG2
DB00091,BE0001067,Q9UNQ0,GeneCards,ABCG2
DB00091,BE0001067,Q9UNQ0,GenBank Gene Database,AF103796
DB00091,BE0001067,Q9UNQ0,GenBank Protein Database,4185796
DB00091,BE0001067,Q9UNQ0,Guide to Pharmacology,792
DB00091,BE0001067,Q9UNQ0,UniProtKB,Q9UNQ0
DB00091,BE0001067,Q9UNQ0,UniProt Accession,ABCG2_HUMAN
DB00091,BE0001004,Q9Y6L6,HUGO Gene Nomenclature Committee (HGNC),HGNC:10959
DB00091,BE0001004,Q9Y6L6,GenAtlas,SLCO1B1
DB00091,BE0001004,Q9Y6L6,GeneCards,SLCO1B1
DB00091,BE0001004,Q9Y6L6,GenBank Gene Database,AF060500
DB00091,BE0001004,Q9Y6L6,GenBank Protein Database,5051630
DB00091,BE0001004,Q9Y6L6,Guide to Pharmacology,1220
DB00091,BE0001004,Q9Y6L6,UniProtKB,Q9Y6L6
DB00091,BE0001004,Q9Y6L6,UniProt Accession,SO1B1_HUMAN
DB00091,BE0003659,Q9NPD5,HUGO Gene Nomenclature Committee (HGNC),HGNC:10961
DB00091,BE0003659,Q9NPD5,GeneCards,SLCO1B3
DB00091,BE0003659,Q9NPD5,GenBank Gene Database,AJ251506
DB00091,BE0003659,Q9NPD5,GenBank Protein Database,9187497
DB00091,BE0003659,Q9NPD5,Guide to Pharmacology,1221
DB00091,BE0003659,Q9NPD5,UniProtKB,Q9NPD5
DB00091,BE0003659,Q9NPD5,UniProt Accession,SO1B3_HUMAN
DB00103,BE0004494,P20645,HUGO Gene Nomenclature Committee (HGNC),HGNC:6752
DB00103,BE0004494,P20645,GeneCards,M6PR
DB00103,BE0004494,P20645,UniProtKB,P20645
DB00103,BE0004494,P20645,UniProt Accession,MPRD_HUMAN
DB00104,BE0001032,P08183,HUGO Gene Nomenclature Committee (HGNC),HGNC:40
DB00104,BE0001032,P08183,GenAtlas,ABCB1
DB00104,BE0001032,P08183,GeneCards,ABCB1
DB00104,BE0001032,P08183,GenBank Gene Database,M14758
DB00104,BE0001032,P08183,GenBank Protein Database,307180
DB00104,BE0001032,P08183,Guide to Pharmacology,768
DB00104,BE0001032,P08183,UniProtKB,P08183
DB00104,BE0001032,P08183,UniProt Accession,MDR1_HUMAN
DB00104,BE0001069,Q92887,HUGO Gene Nomenclature Committee (HGNC),HGNC:53
DB00104,BE0001069,Q92887,GenAtlas,ABCC2
