drugbank_id,interactant_id,polypeptide_id,category,description
DB00070,BE0000530,P02768,component,cytoplasm
DB00070,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00070,BE0000530,P02768,component,protein-containing complex
DB00070,BE0000530,P02768,function,enterobactin binding
DB00070,BE0000530,P02768,function,exogenous protein binding
DB00070,BE0000530,P02768,function,identical protein binding
DB00070,BE0000530,P02768,function,protein-folding chaperone binding
DB00070,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00070,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00080,BE0000530,P02768,component,cytoplasm
DB00080,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00080,BE0000530,P02768,component,protein-containing complex
DB00080,BE0000530,P02768,function,enterobactin binding
DB00080,BE0000530,P02768,function,exogenous protein binding
DB00080,BE0000530,P02768,function,identical protein binding
DB00080,BE0000530,P02768,function,protein-folding chaperone binding
DB00080,BE0000530,P02768,process,cellular response to calcium ion starvation
DB00080,BE0000530,P02768,process,negative regulation of mitochondrial depolarization
DB00080,BE0000925,P02763,component,collagen-containing extracellular matrix
DB00080,BE0000925,P02763,component,platelet alpha granule lumen
DB00080,BE0000925,P02763,component,specific granule lumen
DB00080,BE0000925,P02763,component,tertiary granule lumen
DB00080,BE0000925,P02763,process,positive regulation of interleukin-1 beta production
DB00080,BE0000925,P02763,process,positive regulation of interleukin-1 production
DB00080,BE0000925,P02763,process,positive regulation of tumor necrosis factor production
DB00080,BE0000952,P01009,component,collagen-containing extracellular matrix
DB00080,BE0000952,P01009,component,COPII-coated ER to Golgi transport vesicle
DB00080,BE0000952,P01009,component,ficolin-1-rich granule lumen
DB00080,BE0000952,P01009,component,intracellular membrane-bounded organelle
DB00080,BE0000952,P01009,process,negative regulation of peptidase activity
DB00080,BE0000499,P01130,component,clathrin-coated pit
DB00080,BE0000499,P01130,component,endolysosome membrane
DB00080,BE0000499,P01130,component,somatodendritic compartment
DB00080,BE0000499,P01130,component,sorting endosome
DB00080,BE0000499,P01130,function,amyloid-beta binding
DB00080,BE0000499,P01130,function,identical protein binding
DB00080,BE0000499,P01130,function,lipoprotein particle binding
DB00080,BE0000499,P01130,function,low-density lipoprotein particle receptor activity
DB00080,BE0000499,P01130,function,molecular adaptor activity
DB00080,BE0000499,P01130,process,amyloid-beta clearance
DB00080,BE0000499,P01130,process,amyloid-beta clearance by cellular catabolic process
DB00080,BE0000499,P01130,process,artery morphogenesis
DB00080,BE0000499,P01130,process,cellular response to fatty acid
DB00080,BE0000499,P01130,process,cellular response to low-density lipoprotein particle stimulus
DB00080,BE0000499,P01130,process,high-density lipoprotein particle clearance
DB00080,BE0000499,P01130,process,long-term memory
DB00080,BE0000499,P01130,process,negative regulation of amyloid fibril formation
DB00080,BE0000499,P01130,process,negative regulation of astrocyte activation
DB00080,BE0000499,P01130,process,negative regulation of gene expression
DB00080,BE0000499,P01130,process,negative regulation of low-density lipoprotein particle clearance
DB00080,BE0000499,P01130,process,negative regulation of microglial cell activation
DB00080,BE0000499,P01130,process,negative regulation of protein metabolic process
DB00080,BE0000499,P01130,process,negative regulation of receptor recycling
DB00080,BE0000499,P01130,process,phagocytosis
DB00080,BE0000499,P01130,process,plasma lipoprotein particle clearance
DB00080,BE0000499,P01130,process,positive regulation of gene expression
DB00080,BE0000499,P01130,process,positive regulation of inflammatory response
DB00080,BE0000499,P01130,process,positive regulation of lysosomal protein catabolic process
DB00080,BE0000499,P01130,process,receptor-mediated endocytosis involved in cholesterol transport
DB00080,BE0000499,P01130,process,regulation of cholesterol metabolic process
DB00080,BE0000499,P01130,process,regulation of protein metabolic process
DB00080,BE0000499,P01130,process,response to caloric restriction
DB00080,BE0000685,P04278,function,steroid binding
DB00080,BE0009909,P02790,function,heme transmembrane transporter activity
DB00080,BE0009909,P02790,process,intracellular iron ion homeostasis
DB00080,BE0009909,P02790,process,positive regulation of type II interferon-mediated signaling pathway
DB00080,BE0009909,P02790,process,regulation of protein metabolic process
DB00080,BE0009909,P02790,process,type II interferon-mediated signaling pathway
DB00083,BE0000530,P02768,component,cytoplasm
DB00083,BE0000530,P02768,component,endoplasmic reticulum lumen
DB00083,BE0000530,P02768,component,protein-containing complex
DB00083,BE0000530,P02768,function,enterobactin binding
DB00083,BE0000530,P02768,function,exogenous protein binding
DB00083,BE0000530,P02768,function,identical protein binding
