drugbank_id,interactant_id,polypeptide_id,identifier,name
DB00006,BE0001075,P05164,PF03098,An_peroxidase
DB00008,BE0002433,P05177,PF00067,p450
DB00011,BE0002433,P05177,PF00067,p450
DB00013,BE0001198,P39900,PF00045,Hemopexin
DB00013,BE0001198,P39900,PF00413,Peptidase_M10
DB00013,BE0001198,P39900,PF01471,PG_binding_1
DB00018,BE0002433,P05177,PF00067,p450
DB00019,BE0000394,P08246,PF00089,Trypsin
DB00022,BE0002433,P05177,PF00067,p450
DB00022,BE0002363,P10635,PF00067,p450
DB00022,BE0002793,P11712,PF00067,p450
DB00025,BE0000048,P00734,PF00051,Kringle
DB00025,BE0000048,P00734,PF00089,Trypsin
DB00025,BE0000048,P00734,PF09396,Thrombin_light
DB00025,BE0000048,P00734,PF00594,Gla
DB00025,BE0000380,P04070,PF00089,Trypsin
DB00025,BE0000380,P04070,PF14670,FXa_inhibition
DB00025,BE0000380,P04070,PF00594,Gla
DB00030,BE0001183,P14735,PF00675,Peptidase_M16
DB00030,BE0001183,P14735,PF05193,Peptidase_M16_C
DB00030,BE0001183,P14735,PF16187,Peptidase_M16_M
DB00030,BE0001183,P14735,PF22456,PqqF-like_C_4
DB00030,BE0002124,P16519,PF00082,Peptidase_S8
DB00030,BE0002124,P16519,PF01483,P_proprotein
DB00030,BE0002124,P16519,PF16470,S8_pro-domain
DB00030,BE0002125,P29120,PF00082,Peptidase_S8
DB00030,BE0002125,P29120,PF01483,P_proprotein
DB00030,BE0002125,P29120,PF16470,S8_pro-domain
DB00030,BE0002125,P29120,PF12177,Proho_convert
DB00030,BE0002433,P05177,PF00067,p450
DB00033,BE0002433,P05177,PF00067,p450
DB00034,BE0002433,P05177,PF00067,p450
DB00035,BE0000262,P35354,PF03098,An_peroxidase
DB00035,BE0000017,P23219,PF03098,An_peroxidase
DB00041,BE0000262,P35354,PF03098,An_peroxidase
DB00041,BE0000657,P47712,PF00168,C2
DB00041,BE0000657,P47712,PF01735,PLA2_B
DB00041,BE0002638,P08684,PF00067,p450
DB00041,BE0002204,P47989,PF00111,Fer2
DB00041,BE0002204,P47989,PF01315,Ald_Xan_dh_C
DB00041,BE0002204,P47989,PF01799,Fer2_2
DB00041,BE0002204,P47989,PF03450,CO_deh_flav_C
DB00041,BE0002204,P47989,PF00941,FAD_binding_5
DB00041,BE0002204,P47989,PF20256,MoCoBD_2
DB00041,BE0002204,P47989,PF02738,MoCoBD_1
DB00041,BE0003533,P05181,PF00067,p450
DB00046,BE0002433,P05177,PF00067,p450
DB00046,BE0001183,P14735,PF00675,Peptidase_M16
DB00046,BE0001183,P14735,PF05193,Peptidase_M16_C
DB00046,BE0001183,P14735,PF16187,Peptidase_M16_M
DB00046,BE0001183,P14735,PF22456,PqqF-like_C_4
DB00047,BE0002433,P05177,PF00067,p450
DB00052,BE0002433,P05177,PF00067,p450
DB00052,BE0003536,P33261,PF00067,p450
DB00060,BE0002433,P05177,PF00067,p450
DB00068,BE0002433,P05177,PF00067,p450
DB00069,BE0002433,P05177,PF00067,p450
DB00071,BE0002433,P05177,PF00067,p450
DB00071,BE0001183,P14735,PF00675,Peptidase_M16
DB00071,BE0001183,P14735,PF05193,Peptidase_M16_C
DB00071,BE0001183,P14735,PF16187,Peptidase_M16_M
DB00071,BE0001183,P14735,PF22456,PqqF-like_C_4
DB00082,BE0000549,Q02318,PF00067,p450
DB00082,BE0002240,P15104,PF00120,Gln-synt_C
DB00082,BE0002240,P15104,PF03951,Gln-synt_N
DB00082,BE0002638,P08684,PF00067,p450
DB00082,BE0002180,P06276,PF00135,COesterase
DB00082,BE0002180,P06276,PF08674,AChE_tetra
DB00082,BE0000421,Q02928,PF00067,p450
DB00086,BE0000657,P47712,PF00168,C2
DB00086,BE0000657,P47712,PF01735,PLA2_B
DB00091,BE0003536,P33261,PF00067,p450
DB00091,BE0002363,P10635,PF00067,p450
DB00091,BE0002362,P20815,PF00067,p450
DB00091,BE0002638,P08684,PF00067,p450
DB00099,BE0000394,P08246,PF00089,Trypsin
DB00104,BE0001075,P05164,PF03098,An_peroxidase
DB00104,BE0002638,P08684,PF00067,p450
DB00105,BE0002433,P05177,PF00067,p450
DB00107,BE0002148,P48147,PF00326,Peptidase_S9
DB00107,BE0002148,P48147,PF02897,Peptidase_S9_N
DB00107,BE0010031,Q9UIQ6,PF01433,Peptidase_M1
DB00107,BE0010031,Q9UIQ6,PF11838,ERAP1_C
DB00107,BE0010031,Q9UIQ6,PF17900,Peptidase_M1_N
DB00109,BE0003536,P33261,PF00067,p450
DB00109,BE0003533,P05181,PF00067,p450
DB00115,BE0000456,Q96EY8,PF01923,Cob_adeno_trans
DB00115,BE0002668,Q05599,PF02283,CobU
DB00118,BE0000300,P19623,PF01564,Spermine_synth
DB00118,BE0000300,P19623,PF17284,Spermine_synt_N
DB00118,BE0003533,P05181,PF00067,p450
DB00121,BE0001111,Q16678,PF00067,p450
DB00122,BE0002190,Q9Y6K0,PF01066,CDP-OH_P_transf
DB00122,BE0000237,Q9Y259,PF01633,Choline_kinase
DB00122,BE0000519,P28329,PF00755,Carn_acyltransf
DB00122,BE0000784,P35790,PF01633,Choline_kinase
DB00122,BE0000636,Q8NE62,PF05199,GMC_oxred_C
DB00122,BE0000636,Q8NE62,PF00732,GMC_oxred_N
DB00126,BE0001979,Q16881,PF02852,Pyr_redox_dim
DB00126,BE0001979,Q16881,PF00462,Glutaredoxin
DB00126,BE0001979,Q16881,PF07992,Pyr_redox_2
DB00127,BE0000111,P21673,PF00583,Acetyltransf_1
DB00127,BE0000275,Q96F10,PF00583,Acetyltransf_1
DB00127,BE0002204,P47989,PF00111,Fer2
DB00127,BE0002204,P47989,PF01315,Ald_Xan_dh_C
DB00127,BE0002204,P47989,PF01799,Fer2_2
DB00127,BE0002204,P47989,PF03450,CO_deh_flav_C
DB00127,BE0002204,P47989,PF00941,FAD_binding_5
DB00127,BE0002204,P47989,PF20256,MoCoBD_2
DB00127,BE0002204,P47989,PF02738,MoCoBD_1
DB00128,BE0002227,P27708,PF00185,OTCace
DB00128,BE0002227,P27708,PF02729,OTCace_N
DB00128,BE0002227,P27708,PF00117,GATase
DB00128,BE0002227,P27708,PF01979,Amidohydro_1
DB00128,BE0002227,P27708,PF02786,CPSase_L_D2
DB00128,BE0002227,P27708,PF02142,MGS
DB00128,BE0002227,P27708,PF02787,CPSase_L_D3
DB00128,BE0002227,P27708,PF00988,CPSase_sm_chain
DB00130,BE0000004,P00488,PF01841,Transglut_core
DB00130,BE0000004,P00488,PF00868,Transglut_N
DB00130,BE0000004,P00488,PF00927,Transglut_C
DB00130,BE0000825,O94925,PF04960,Glutaminase
DB00130,BE0000825,O94925,PF12796,Ank_2
DB00130,BE0000825,O94925,PF17959,EF-hand_14
DB00130,BE0000003,Q9UI32,PF04960,Glutaminase
DB00130,BE0000003,Q9UI32,PF12796,Ank_2
DB00130,BE0000003,Q9UI32,PF17959,EF-hand_14
DB00130,BE0001035,P21980,PF01841,Transglut_core
DB00130,BE0001035,P21980,PF00868,Transglut_N
DB00130,BE0001035,P21980,PF00927,Transglut_C
DB00130,BE0002236,O43548,PF01841,Transglut_core
DB00130,BE0002236,O43548,PF00868,Transglut_N
DB00130,BE0002236,O43548,PF00927,Transglut_C
DB00130,BE0002239,O95932,PF01841,Transglut_core
DB00130,BE0002239,O95932,PF00868,Transglut_N
DB00130,BE0002239,O95932,PF00927,Transglut_C
DB00130,BE0002241,P22735,PF01841,Transglut_core
DB00130,BE0002241,P22735,PF00868,Transglut_N
DB00130,BE0002241,P22735,PF00927,Transglut_C
DB00130,BE0002243,P49221,PF01841,Transglut_core
DB00130,BE0002243,P49221,PF00868,Transglut_N
DB00130,BE0002243,P49221,PF00927,Transglut_C
DB00130,BE0001273,Q08188,PF01841,Transglut_core
DB00130,BE0001273,Q08188,PF00868,Transglut_N
DB00130,BE0001273,Q08188,PF00927,Transglut_C
DB00130,BE0002245,Q96PF1,PF01841,Transglut_core
DB00130,BE0002245,Q96PF1,PF00868,Transglut_N
DB00130,BE0002245,Q96PF1,PF00927,Transglut_C
DB00130,BE0000321,P49915,PF00117,GATase
DB00130,BE0000321,P49915,PF00958,GMP_synt_C
DB00130,BE0000321,P49915,PF02540,NAD_synthase
DB00130,BE0000219,P08243,PF00733,Asn_synthase
DB00130,BE0000219,P08243,PF13537,GATase_7
DB00130,BE0000273,Q16773,PF00155,Aminotran_1_2
DB00130,BE0002235,O15067,PF02769,AIRS_C
DB00130,BE0002235,O15067,PF18072,FGAR-AT_linker
DB00130,BE0002235,O15067,PF18076,FGAR-AT_N
DB00130,BE0002235,O15067,PF13507,GATase_5
DB00130,BE0002235,O15067,PF22689,FGAR-AT_PurM_N-like
DB00130,BE0002237,O75879,PF02934,GatB_N
DB00130,BE0002237,O75879,PF02637,GatB_Yqey
DB00130,BE0002238,O94808,PF01380,SIS
DB00130,BE0002238,O94808,PF13522,GATase_6
DB00130,BE0002227,P27708,PF00185,OTCace
DB00130,BE0002227,P27708,PF02729,OTCace_N
DB00130,BE0002227,P27708,PF00117,GATase
DB00130,BE0002227,P27708,PF01979,Amidohydro_1
DB00130,BE0002227,P27708,PF02786,CPSase_L_D2
DB00130,BE0002227,P27708,PF02142,MGS
DB00130,BE0002227,P27708,PF02787,CPSase_L_D3
DB00130,BE0002227,P27708,PF00988,CPSase_sm_chain
DB00130,BE0002242,P47897,PF00749,tRNA-synt_1c
DB00130,BE0002242,P47897,PF03950,tRNA-synt_1c_C
DB00130,BE0002242,P47897,PF04558,tRNA_synt_1c_R1
