drugbank_id,interactant_id,polypeptide_id,resource,identifier
DB00006,BE0001075,P05164,HUGO Gene Nomenclature Committee (HGNC),HGNC:7218
DB00006,BE0001075,P05164,GenAtlas,MPO
DB00006,BE0001075,P05164,GeneCards,MPO
DB00006,BE0001075,P05164,GenBank Gene Database,J02694
DB00006,BE0001075,P05164,GenBank Protein Database,189040
DB00006,BE0001075,P05164,Guide to Pharmacology,2789
DB00006,BE0001075,P05164,UniProtKB,P05164
DB00006,BE0001075,P05164,UniProt Accession,PERM_HUMAN
DB00008,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00008,BE0002433,P05177,GenAtlas,CYP1A2
DB00008,BE0002433,P05177,GeneCards,CYP1A2
DB00008,BE0002433,P05177,GenBank Gene Database,Z00036
DB00008,BE0002433,P05177,Guide to Pharmacology,1319
DB00008,BE0002433,P05177,UniProtKB,P05177
DB00008,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00011,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00011,BE0002433,P05177,GenAtlas,CYP1A2
DB00011,BE0002433,P05177,GeneCards,CYP1A2
DB00011,BE0002433,P05177,GenBank Gene Database,Z00036
DB00011,BE0002433,P05177,Guide to Pharmacology,1319
DB00011,BE0002433,P05177,UniProtKB,P05177
DB00011,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00013,BE0001198,P39900,HUGO Gene Nomenclature Committee (HGNC),HGNC:7158
DB00013,BE0001198,P39900,GenAtlas,MMP12
DB00013,BE0001198,P39900,GeneCards,MMP12
DB00013,BE0001198,P39900,GenBank Gene Database,L23808
DB00013,BE0001198,P39900,GenBank Protein Database,435970
DB00013,BE0001198,P39900,Guide to Pharmacology,1636
DB00013,BE0001198,P39900,UniProtKB,P39900
DB00013,BE0001198,P39900,UniProt Accession,MMP12_HUMAN
DB00018,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00018,BE0002433,P05177,GenAtlas,CYP1A2
DB00018,BE0002433,P05177,GeneCards,CYP1A2
DB00018,BE0002433,P05177,GenBank Gene Database,Z00036
DB00018,BE0002433,P05177,Guide to Pharmacology,1319
DB00018,BE0002433,P05177,UniProtKB,P05177
DB00018,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00019,BE0000394,P08246,HUGO Gene Nomenclature Committee (HGNC),HGNC:3309
DB00019,BE0000394,P08246,GenAtlas,ELA2
DB00019,BE0000394,P08246,GeneCards,ELANE
DB00019,BE0000394,P08246,GenBank Gene Database,Y00477
DB00019,BE0000394,P08246,GenBank Protein Database,296665
DB00019,BE0000394,P08246,Guide to Pharmacology,2358
DB00019,BE0000394,P08246,UniProtKB,P08246
DB00019,BE0000394,P08246,UniProt Accession,ELNE_HUMAN
DB00022,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00022,BE0002433,P05177,GenAtlas,CYP1A2
DB00022,BE0002433,P05177,GeneCards,CYP1A2
DB00022,BE0002433,P05177,GenBank Gene Database,Z00036
DB00022,BE0002433,P05177,Guide to Pharmacology,1319
DB00022,BE0002433,P05177,UniProtKB,P05177
DB00022,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00022,BE0002363,P10635,HUGO Gene Nomenclature Committee (HGNC),HGNC:2625
DB00022,BE0002363,P10635,GenAtlas,CYP2D6
DB00022,BE0002363,P10635,GeneCards,CYP2D6
DB00022,BE0002363,P10635,GenBank Gene Database,M20403
DB00022,BE0002363,P10635,GenBank Protein Database,181350
DB00022,BE0002363,P10635,Guide to Pharmacology,1329
DB00022,BE0002363,P10635,UniProtKB,P10635
DB00022,BE0002363,P10635,UniProt Accession,CP2D6_HUMAN
DB00022,BE0002793,P11712,HUGO Gene Nomenclature Committee (HGNC),HGNC:2623
DB00022,BE0002793,P11712,GenAtlas,CYP2C9
DB00022,BE0002793,P11712,GeneCards,CYP2C9
DB00022,BE0002793,P11712,GenBank Gene Database,AY341248
DB00022,BE0002793,P11712,Guide to Pharmacology,1326
DB00022,BE0002793,P11712,UniProtKB,P11712
DB00022,BE0002793,P11712,UniProt Accession,CP2C9_HUMAN
DB00025,BE0000048,P00734,HUGO Gene Nomenclature Committee (HGNC),HGNC:3535
DB00025,BE0000048,P00734,GenAtlas,F2
DB00025,BE0000048,P00734,GeneCards,F2
DB00025,BE0000048,P00734,GenBank Gene Database,M17262
DB00025,BE0000048,P00734,GenBank Protein Database,339641
DB00025,BE0000048,P00734,Guide to Pharmacology,2362
DB00025,BE0000048,P00734,UniProtKB,P00734
DB00025,BE0000048,P00734,UniProt Accession,THRB_HUMAN
DB00025,BE0000380,P04070,HUGO Gene Nomenclature Committee (HGNC),HGNC:9451
DB00025,BE0000380,P04070,GenAtlas,PROC
DB00025,BE0000380,P04070,GeneCards,PROC
DB00025,BE0000380,P04070,GenBank Gene Database,M11228
DB00025,BE0000380,P04070,GenBank Protein Database,190334
DB00025,BE0000380,P04070,Guide to Pharmacology,2396
DB00025,BE0000380,P04070,UniProtKB,P04070
DB00025,BE0000380,P04070,UniProt Accession,PROC_HUMAN
DB00030,BE0001183,P14735,HUGO Gene Nomenclature Committee (HGNC),HGNC:5381
DB00030,BE0001183,P14735,GenAtlas,IDE
DB00030,BE0001183,P14735,GeneCards,IDE
DB00030,BE0001183,P14735,GenBank Gene Database,M21188
DB00030,BE0001183,P14735,GenBank Protein Database,184556
DB00030,BE0001183,P14735,Guide to Pharmacology,2371
DB00030,BE0001183,P14735,UniProtKB,P14735
DB00030,BE0001183,P14735,UniProt Accession,IDE_HUMAN
DB00030,BE0002124,P16519,HUGO Gene Nomenclature Committee (HGNC),HGNC:8744
DB00030,BE0002124,P16519,GenAtlas,PCSK2
DB00030,BE0002124,P16519,GeneCards,PCSK2
DB00030,BE0002124,P16519,GenBank Gene Database,J05252
DB00030,BE0002124,P16519,GenBank Protein Database,189652
DB00030,BE0002124,P16519,Guide to Pharmacology,2383
DB00030,BE0002124,P16519,UniProtKB,P16519
DB00030,BE0002124,P16519,UniProt Accession,NEC2_HUMAN
DB00030,BE0002125,P29120,HUGO Gene Nomenclature Committee (HGNC),HGNC:8743
DB00030,BE0002125,P29120,GenAtlas,PCSK1
DB00030,BE0002125,P29120,GeneCards,PCSK1
DB00030,BE0002125,P29120,GenBank Gene Database,X64810
DB00030,BE0002125,P29120,GenBank Protein Database,35318
DB00030,BE0002125,P29120,Guide to Pharmacology,2382
DB00030,BE0002125,P29120,UniProtKB,P29120
DB00030,BE0002125,P29120,UniProt Accession,NEC1_HUMAN
DB00030,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00030,BE0002433,P05177,GenAtlas,CYP1A2
DB00030,BE0002433,P05177,GeneCards,CYP1A2
DB00030,BE0002433,P05177,GenBank Gene Database,Z00036
DB00030,BE0002433,P05177,Guide to Pharmacology,1319
DB00030,BE0002433,P05177,UniProtKB,P05177
DB00030,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00033,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00033,BE0002433,P05177,GenAtlas,CYP1A2
DB00033,BE0002433,P05177,GeneCards,CYP1A2
DB00033,BE0002433,P05177,GenBank Gene Database,Z00036
DB00033,BE0002433,P05177,Guide to Pharmacology,1319
DB00033,BE0002433,P05177,UniProtKB,P05177
DB00033,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00034,BE0002433,P05177,HUGO Gene Nomenclature Committee (HGNC),HGNC:2596
DB00034,BE0002433,P05177,GenAtlas,CYP1A2
DB00034,BE0002433,P05177,GeneCards,CYP1A2
DB00034,BE0002433,P05177,GenBank Gene Database,Z00036
DB00034,BE0002433,P05177,Guide to Pharmacology,1319
DB00034,BE0002433,P05177,UniProtKB,P05177
DB00034,BE0002433,P05177,UniProt Accession,CP1A2_HUMAN
DB00035,BE0000262,P35354,HUGO Gene Nomenclature Committee (HGNC),HGNC:9605
DB00035,BE0000262,P35354,GenAtlas,PTGS2
DB00035,BE0000262,P35354,GeneCards,PTGS2
DB00035,BE0000262,P35354,GenBank Gene Database,L15326
DB00035,BE0000262,P35354,GenBank Protein Database,291988
DB00035,BE0000262,P35354,Guide to Pharmacology,1376
DB00035,BE0000262,P35354,UniProtKB,P35354
DB00035,BE0000262,P35354,UniProt Accession,PGH2_HUMAN
DB00035,BE0000017,P23219,HUGO Gene Nomenclature Committee (HGNC),HGNC:9604
DB00035,BE0000017,P23219,GenAtlas,PTGS1
DB00035,BE0000017,P23219,GeneCards,PTGS1
DB00035,BE0000017,P23219,GenBank Gene Database,M31822
DB00035,BE0000017,P23219,GenBank Protein Database,387018
DB00035,BE0000017,P23219,Guide to Pharmacology,1375
DB00035,BE0000017,P23219,UniProtKB,P23219
DB00035,BE0000017,P23219,UniProt Accession,PGH1_HUMAN
DB00041,BE0000262,P35354,HUGO Gene Nomenclature Committee (HGNC),HGNC:9605
DB00041,BE0000262,P35354,GenAtlas,PTGS2
DB00041,BE0000262,P35354,GeneCards,PTGS2
DB00041,BE0000262,P35354,GenBank Gene Database,L15326
DB00041,BE0000262,P35354,GenBank Protein Database,291988
DB00041,BE0000262,P35354,Guide to Pharmacology,1376
DB00041,BE0000262,P35354,UniProtKB,P35354
DB00041,BE0000262,P35354,UniProt Accession,PGH2_HUMAN
DB00041,BE0000657,P47712,HUGO Gene Nomenclature Committee (HGNC),HGNC:9035
DB00041,BE0000657,P47712,GenAtlas,PLA2G4A
DB00041,BE0000657,P47712,GeneCards,PLA2G4A
DB00041,BE0000657,P47712,GenBank Gene Database,M72393
DB00041,BE0000657,P47712,GenBank Protein Database,190007
DB00041,BE0000657,P47712,Guide to Pharmacology,1424
DB00041,BE0000657,P47712,UniProtKB,P47712
DB00041,BE0000657,P47712,UniProt Accession,PA24A_HUMAN
DB00041,BE0002638,P08684,HUGO Gene Nomenclature Committee (HGNC),HGNC:2637
DB00041,BE0002638,P08684,GenAtlas,CYP3A4
