drugbank_id,interactant_id,name,organism,known_action
DB00001,BE0000048,Prothrombin,Humans,yes
DB00002,BE0000767,Epidermal growth factor receptor,Humans,yes
DB00002,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown
DB00002,BE0002094,Complement C1q subcomponent subunit A,Humans,unknown
DB00002,BE0002095,Complement C1q subcomponent subunit B,Humans,unknown
DB00002,BE0002096,Complement C1q subcomponent subunit C,Humans,unknown
DB00002,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown
DB00002,BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown
DB00002,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown
DB00003,BE0012829,Deoxyribonuclease-1,Humans,unknown
DB00004,BE0000658,Interleukin-2 receptor subunit alpha,Humans,yes
DB00004,BE0000651,Interleukin-2 receptor subunit beta,Humans,yes
DB00005,BE0000704,Tumor necrosis factor,Humans,yes
DB00005,BE0001087,Lymphotoxin-alpha,Humans,yes
DB00005,BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,unknown
DB00005,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown
DB00005,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown
DB00005,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,unknown
DB00005,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,unknown
DB00005,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,unknown
DB00005,BE0009995,Complement component 1q (C1q),Humans,unknown
DB00006,BE0000048,Prothrombin,Humans,yes
DB00007,BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes
DB00007,BE0010526,Progonadoliberin-1,Humans,yes
DB00008,BE0000385,Interferon alpha/beta receptor 2,Humans,yes
DB00008,BE0000661,Interferon alpha/beta receptor 1,Humans,yes
DB00009,BE0000211,Plasminogen,Humans,yes
DB00009,BE0000538,Fibrinogen alpha chain,Humans,yes
DB00009,BE0002092,Fibrinogen gamma chain,Humans,yes
DB00009,BE0000240,Plasminogen activator inhibitor 1,Humans,unknown
DB00010,BE0000625,Growth hormone-releasing hormone receptor,Humans,yes
DB00011,BE0000661,Interferon alpha/beta receptor 1,Humans,yes
DB00011,BE0000385,Interferon alpha/beta receptor 2,Humans,yes
DB00012,BE0000654,Erythropoietin receptor,Humans,yes
DB00013,BE0000211,Plasminogen,Humans,yes
DB00013,BE0000717,Urokinase plasminogen activator surface receptor,Humans,yes
DB00013,BE0000240,Plasminogen activator inhibitor 1,Humans,yes
DB00013,BE0000969,Plasminogen activator inhibitor 2,Humans,yes
DB00013,BE0002112,Plasma serine protease inhibitor,Humans,unknown
DB00013,BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown
DB00013,BE0001656,Suppressor of tumorigenicity 14 protein,Humans,unknown
DB00013,BE0002113,Nidogen-1,Humans,unknown
DB00014,BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes
DB00014,BE0010526,Progonadoliberin-1,Humans,yes
DB00014,BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes
DB00015,BE0000211,Plasminogen,Humans,yes
DB00015,BE0000538,Fibrinogen alpha chain,Humans,yes
DB00015,BE0000240,Plasminogen activator inhibitor 1,Humans,unknown
DB00016,BE0000654,Erythropoietin receptor,Humans,yes
DB00017,BE0000431,Calcitonin receptor,Humans,yes
DB00018,BE0000661,Interferon alpha/beta receptor 1,Humans,yes
DB00018,BE0000385,Interferon alpha/beta receptor 2,Humans,yes
DB00019,BE0000793,Granulocyte colony-stimulating factor receptor,Humans,yes
DB00020,BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Humans,yes
DB00020,BE0001036,Interleukin-3 receptor subunit alpha,Humans,yes
DB00020,BE0002115,Cytokine receptor common subunit beta,Humans,yes
DB00020,BE0002116,Syndecan-2,Humans,unknown
DB00020,BE0002114,Bone marrow proteoglycan,Humans,unknown
DB00022,BE0000661,Interferon alpha/beta receptor 1,Humans,yes
DB00022,BE0000385,Interferon alpha/beta receptor 2,Humans,yes
DB00023,BE0004798,L-asparagine,Humans,yes
DB00024,BE0000490,Thyrotropin receptor,Humans,yes
DB00025,BE0000216,Coagulation factor X,Humans,yes
DB00025,BE0000364,Coagulation factor IX,Humans,yes
DB00025,BE0001043,von Willebrand factor,Humans,yes
DB00025,BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Humans,unknown
DB00025,BE0002118,Asialoglycoprotein receptor 2,Humans,unknown
DB00025,BE0001098,Endoplasmic reticulum chaperone BiP,Humans,unknown
DB00025,BE0002109,Calreticulin,Humans,unknown
DB00025,BE0001011,Calnexin,Humans,unknown
DB00025,BE0002119,Protein ERGIC-53,Humans,unknown
DB00025,BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans,unknown
DB00025,BE0002120,Multiple coagulation factor deficiency protein 2,Humans,unknown
DB00026,BE0000565,Interleukin-1 receptor type 1,Humans,yes
DB00027,BE0000803,Dihydropteroate synthase,Escherichia coli (strain K12),yes
DB00028,BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,yes
DB00028,BE0004684,Putative high affinity immunoglobulin gamma Fc receptor IB,Humans,yes
DB00028,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,yes
DB00028,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,yes
DB00028,BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,yes
DB00028,BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,yes
DB00028,BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,yes
DB00028,BE0003455,Complement C3,Humans,yes
DB00028,BE0004685,Complement C4-A,Humans,yes
DB00028,BE0004686,Complement C4-B,Humans,yes
DB00028,BE0000855,Complement C5,Humans,yes
DB00029,BE0000211,Plasminogen,Humans,yes
DB00029,BE0000538,Fibrinogen alpha chain,Humans,yes
DB00029,BE0000240,Plasminogen activator inhibitor 1,Humans,unknown
DB00030,BE0000033,Insulin receptor,Humans,yes
DB00030,BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown
DB00030,BE0001123,Carboxypeptidase E,Humans,unknown
DB00030,BE0001147,CCN family member 3,Humans,unknown
DB00030,BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown
DB00030,BE0002126,Insulin-like growth factor-binding protein 7,Humans,unknown
DB00031,BE0000211,Plasminogen,Humans,yes
DB00032,BE0000387,Follicle-stimulating hormone receptor,Humans,yes
DB00032,BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes
DB00033,BE0000711,Interferon gamma receptor 1,Humans,yes
DB00033,BE0000467,Interferon gamma receptor 2,Humans,yes
DB00034,BE0000661,Interferon alpha/beta receptor 1,Humans,yes
DB00034,BE0000385,Interferon alpha/beta receptor 2,Humans,yes
DB00035,BE0000844,Oxytocin receptor,Humans,yes
DB00035,BE0000293,Vasopressin V2 receptor,Humans,yes
DB00035,BE0000165,Vasopressin V1a receptor,Humans,yes
DB00035,BE0000773,Vasopressin V1b receptor,Humans,yes
DB00036,BE0000216,Coagulation factor X,Humans,yes
DB00036,BE0001178,Tissue factor,Humans,yes
DB00038,BE0000416,Interleukin-11 receptor subunit alpha,Humans,yes
DB00039,BE0000748,Fibroblast growth factor receptor 2,Humans,yes
DB00039,BE0002131,Fibroblast growth factor receptor 1,Humans,unknown
DB00039,BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Humans,unknown
DB00040,BE0000527,Glucagon receptor,Humans,yes
DB00040,BE0002134,Glucagon-like peptide 2 receptor,Humans,unknown
DB00040,BE0000857,Glucagon-like peptide 1 receptor,Humans,unknown
DB00041,BE0000651,Interleukin-2 receptor subunit beta,Humans,yes
DB00041,BE0000658,Interleukin-2 receptor subunit alpha,Humans,yes
DB00041,BE0002102,Cytokine receptor common subunit gamma,Humans,yes
DB00042,BE0002137,Vesicle-associated membrane protein 2,Humans,yes
DB00042,BE0002136,Vesicle-associated membrane protein 1,Humans,yes
DB00042,BE0002138,Synaptotagmin-2,Humans,yes
DB00043,BE0010138,Immunoglobulin heavy constant epsilon,Humans,yes
DB00044,BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,yes
DB00045,BE0001164,Toll-like receptor 2,Humans,yes
DB00046,BE0000033,Insulin receptor,Humans,yes
DB00046,BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown
DB00047,BE0000033,Insulin receptor,Humans,yes
DB00047,BE0000858,Insulin-like growth factor 1 receptor,Humans,unknown
DB00048,BE0000025,Collagen alpha-1(I) chain,Humans,yes
DB00048,BE0002140,Collagen alpha-1(II) chain,Humans,yes
DB00048,BE0002130,Collagen alpha-1(III) chain,Humans,yes
DB00049,BE0004823,Uric acid,Humans,yes
DB00050,BE0000203,Gonadotropin-releasing hormone receptor,Humans,yes
DB00050,BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,unknown
DB00051,BE0000704,Tumor necrosis factor,Humans,yes
DB00052,BE0000075,Growth hormone receptor,Humans,yes
DB00052,BE0000345,Prolactin receptor,Humans,yes
DB00053,BE0004806,Glucocerebroside,Humans,yes
DB00054,BE0001155,Integrin beta-3,Humans,yes
DB00054,BE0000439,Integrin alpha-IIb,Humans,yes
DB00054,BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,unknown
DB00054,BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,unknown
DB00054,BE0001068,Vitronectin,Humans,unknown
DB00055,BE0000016,Coagulation factor VIII,Humans,yes
DB00055,BE0000041,Coagulation factor V,Humans,yes
DB00055,BE0000240,Plasminogen activator inhibitor 1,Humans,unknown
DB00055,BE0001151,Thrombomodulin,Humans,unknown
DB00055,BE0000943,Vitamin K-dependent protein S,Humans,unknown
DB00055,BE0000048,Prothrombin,Humans,unknown
