drugbank_id,interactant_id,polypeptide_id,identifier,name
DB00001,BE0000048,P00734,PF00051,Kringle
DB00001,BE0000048,P00734,PF00089,Trypsin
DB00001,BE0000048,P00734,PF09396,Thrombin_light
DB00001,BE0000048,P00734,PF00594,Gla
DB00002,BE0000767,P00533,PF00757,Furin-like
DB00002,BE0000767,P00533,PF01030,Recep_L_domain
DB00002,BE0000767,P00533,PF14843,GF_recep_IV
DB00002,BE0000767,P00533,PF21314,TM_ErbB1
DB00002,BE0000767,P00533,PF07714,PK_Tyr_Ser-Thr
DB00002,BE0000901,O75015,PF13895,Ig_2
DB00002,BE0002094,P02745,PF01391,Collagen
DB00002,BE0002094,P02745,PF00386,C1q
DB00002,BE0002095,P02746,PF01391,Collagen
DB00002,BE0002095,P02746,PF00386,C1q
DB00002,BE0002096,P02747,PF01391,Collagen
DB00002,BE0002096,P02747,PF00386,C1q
DB00002,BE0002097,P08637,PF13895,Ig_2
DB00002,BE0000710,P12314,PF13895,Ig_2
DB00002,BE0000710,P12314,PF00047,ig
DB00002,BE0000710,P12314,PF13927,Ig_3
DB00002,BE0002098,P12318,PF13895,Ig_2
DB00003,BE0012829,P24855,PF03372,Exo_endo_phos
DB00004,BE0000658,P01589,PF00084,Sushi
DB00004,BE0000651,P14784,PF18707,IL2RB_N1
DB00005,BE0000704,P01375,PF00229,TNF
DB00005,BE0001087,P01374,PF00229,TNF
DB00005,BE0000710,P12314,PF13895,Ig_2
DB00005,BE0000710,P12314,PF00047,ig
DB00005,BE0000710,P12314,PF13927,Ig_3
DB00005,BE0002098,P12318,PF13895,Ig_2
DB00005,BE0002099,P31994,PF13895,Ig_2
DB00005,BE0002100,P31995,PF13895,Ig_2
DB00005,BE0002097,P08637,PF13895,Ig_2
DB00005,BE0000901,O75015,PF13895,Ig_2
DB00005,BE0009995,P02745,PF01391,Collagen
DB00005,BE0009995,P02745,PF00386,C1q
DB00005,BE0009995,P02746,PF01391,Collagen
DB00005,BE0009995,P02746,PF00386,C1q
DB00005,BE0009995,P02747,PF01391,Collagen
DB00005,BE0009995,P02747,PF00386,C1q
DB00006,BE0000048,P00734,PF00051,Kringle
DB00006,BE0000048,P00734,PF00089,Trypsin
DB00006,BE0000048,P00734,PF09396,Thrombin_light
DB00006,BE0000048,P00734,PF00594,Gla
DB00007,BE0000203,P30968,PF00001,7tm_1
DB00007,BE0010526,P01148,PF00446,GnRH
DB00008,BE0000385,P48551,PF01108,Tissue_fac
DB00008,BE0000385,P48551,PF09294,Interfer-bind
DB00008,BE0000661,P17181,PF01108,Tissue_fac
DB00008,BE0000661,P17181,PF09294,Interfer-bind
DB00009,BE0000211,P00747,PF00051,Kringle
DB00009,BE0000211,P00747,PF00089,Trypsin
DB00009,BE0000211,P00747,PF00024,PAN_1
DB00009,BE0000538,P02671,PF00147,Fibrinogen_C
DB00009,BE0000538,P02671,PF08702,Fib_alpha
DB00009,BE0000538,P02671,PF12160,Fibrinogen_aC
DB00009,BE0002092,P02679,PF00147,Fibrinogen_C
DB00009,BE0002092,P02679,PF08702,Fib_alpha
DB00009,BE0000240,P05121,PF00079,Serpin
DB00010,BE0000625,Q02643,PF00002,7tm_2
DB00010,BE0000625,Q02643,PF02793,HRM
DB00011,BE0000661,P17181,PF01108,Tissue_fac
DB00011,BE0000661,P17181,PF09294,Interfer-bind
DB00011,BE0000385,P48551,PF01108,Tissue_fac
DB00011,BE0000385,P48551,PF09294,Interfer-bind
DB00012,BE0000654,P19235,PF09067,EpoR_lig-bind
DB00012,BE0000654,P19235,PF00041,fn3
DB00013,BE0000211,P00747,PF00051,Kringle
DB00013,BE0000211,P00747,PF00089,Trypsin
DB00013,BE0000211,P00747,PF00024,PAN_1
DB00013,BE0000717,Q03405,PF00021,UPAR_LY6
DB00013,BE0000240,P05121,PF00079,Serpin
DB00013,BE0000969,P05120,PF00079,Serpin
DB00013,BE0002112,P05154,PF00079,Serpin
DB00013,BE0000942,P98164,PF00057,Ldl_recept_a
DB00013,BE0000942,P98164,PF00058,Ldl_recept_b
DB00013,BE0000942,P98164,PF12662,cEGF
DB00013,BE0000942,P98164,PF14670,FXa_inhibition
DB00013,BE0000942,P98164,PF07645,EGF_CA
DB00013,BE0001656,Q9Y5Y6,PF00089,Trypsin
DB00013,BE0001656,Q9Y5Y6,PF00057,Ldl_recept_a
DB00013,BE0001656,Q9Y5Y6,PF00431,CUB
DB00013,BE0001656,Q9Y5Y6,PF01390,SEA
DB00013,BE0002113,P14543,PF00058,Ldl_recept_b
DB00013,BE0002113,P14543,PF00086,Thyroglobulin_1
DB00013,BE0002113,P14543,PF06119,NIDO
DB00013,BE0002113,P14543,PF07474,G2F
DB00013,BE0002113,P14543,PF12662,cEGF
DB00013,BE0002113,P14543,PF14670,FXa_inhibition
DB00013,BE0002113,P14543,PF07645,EGF_CA
DB00013,BE0002113,P14543,PF12947,EGF_3
DB00014,BE0000134,P22888,PF00001,7tm_1
DB00014,BE0000134,P22888,PF13306,LRR_5
DB00014,BE0010526,P01148,PF00446,GnRH
DB00014,BE0000203,P30968,PF00001,7tm_1
DB00015,BE0000211,P00747,PF00051,Kringle
DB00015,BE0000211,P00747,PF00089,Trypsin
DB00015,BE0000211,P00747,PF00024,PAN_1
DB00015,BE0000538,P02671,PF00147,Fibrinogen_C
DB00015,BE0000538,P02671,PF08702,Fib_alpha
DB00015,BE0000538,P02671,PF12160,Fibrinogen_aC
DB00015,BE0000240,P05121,PF00079,Serpin
DB00016,BE0000654,P19235,PF09067,EpoR_lig-bind
DB00016,BE0000654,P19235,PF00041,fn3
DB00017,BE0000431,P30988,PF00002,7tm_2
DB00017,BE0000431,P30988,PF02793,HRM
DB00018,BE0000661,P17181,PF01108,Tissue_fac
DB00018,BE0000661,P17181,PF09294,Interfer-bind
DB00018,BE0000385,P48551,PF01108,Tissue_fac
DB00018,BE0000385,P48551,PF09294,Interfer-bind
DB00019,BE0000793,Q99062,PF06328,Lep_receptor_Ig
DB00019,BE0000793,Q99062,PF00041,fn3
DB00020,BE0000628,P15509,PF18611,IL3Ra_N
DB00020,BE0000628,P15509,PF09240,IL6Ra-bind
DB00020,BE0001036,P26951,PF18611,IL3Ra_N
DB00020,BE0001036,P26951,PF09240,IL6Ra-bind
DB00020,BE0002115,P32927,PF21460,IL3Rb_N
DB00020,BE0002116,P34741,PF01034,Syndecan
DB00020,BE0002114,P13727,PF00059,Lectin_C
DB00022,BE0000661,P17181,PF01108,Tissue_fac
DB00022,BE0000661,P17181,PF09294,Interfer-bind
DB00022,BE0000385,P48551,PF01108,Tissue_fac
DB00022,BE0000385,P48551,PF09294,Interfer-bind
DB00024,BE0000490,P16473,PF00001,7tm_1
DB00024,BE0000490,P16473,PF13306,LRR_5
DB00025,BE0000216,P00742,PF00089,Trypsin
DB00025,BE0000216,P00742,PF14670,FXa_inhibition
DB00025,BE0000216,P00742,PF00008,EGF
DB00025,BE0000216,P00742,PF00594,Gla
DB00025,BE0000364,P00740,PF00089,Trypsin
DB00025,BE0000364,P00740,PF14670,FXa_inhibition
DB00025,BE0000364,P00740,PF00008,EGF
DB00025,BE0000364,P00740,PF00594,Gla
DB00025,BE0001043,P04275,PF00093,VWC
DB00025,BE0001043,P04275,PF00092,VWA
DB00025,BE0001043,P04275,PF00094,VWD
DB00025,BE0001043,P04275,PF08742,C8
DB00025,BE0001043,P04275,PF01826,TIL
DB00025,BE0001043,P04275,PF16164,VWA_N2
DB00025,BE0002117,O14832,PF05721,PhyH
DB00025,BE0002118,P07307,PF00059,Lectin_C
DB00025,BE0002118,P07307,PF03954,Lectin_N
DB00025,BE0001098,P11021,PF00012,HSP70
DB00025,BE0002109,P27797,PF00262,Calreticulin
DB00025,BE0001011,P27824,PF00262,Calreticulin
DB00025,BE0002119,P49257,PF03388,Lectin_leg-like
DB00025,BE0002110,Q07954,PF00057,Ldl_recept_a
DB00025,BE0002110,Q07954,PF00058,Ldl_recept_b
DB00025,BE0002110,Q07954,PF12662,cEGF
DB00025,BE0002110,Q07954,PF16472,DUF5050
DB00025,BE0002110,Q07954,PF14670,FXa_inhibition
DB00025,BE0002110,Q07954,PF07645,EGF_CA
DB00025,BE0002120,Q8NI22,PF13499,EF-hand_7
DB00026,BE0000565,P14778,PF13895,Ig_2
DB00026,BE0000565,P14778,PF01582,TIR
DB00026,BE0000565,P14778,PF18452,Ig_6
DB00027,BE0000803,P0AC13,PF00809,Pterin_bind
DB00028,BE0000710,P12314,PF13895,Ig_2
DB00028,BE0000710,P12314,PF00047,ig
DB00028,BE0000710,P12314,PF13927,Ig_3
DB00028,BE0004684,Q92637,PF13895,Ig_2
DB00028,BE0004684,Q92637,PF13927,Ig_3
DB00028,BE0002098,P12318,PF13895,Ig_2
DB00028,BE0002099,P31994,PF13895,Ig_2
DB00028,BE0002100,P31995,PF13895,Ig_2
DB00028,BE0002097,P08637,PF13895,Ig_2
DB00028,BE0000901,O75015,PF13895,Ig_2
DB00028,BE0003455,P01024,PF00207,A2M
DB00028,BE0003455,P01024,PF07677,A2M_recep
DB00028,BE0003455,P01024,PF01821,ANATO
DB00028,BE0003455,P01024,PF01759,NTR
DB00028,BE0003455,P01024,PF17791,MG3
DB00028,BE0003455,P01024,PF17789,MG4
DB00028,BE0003455,P01024,PF21406,C3_CUB1
DB00028,BE0003455,P01024,PF21308,C3_CUB2
DB00028,BE0003455,P01024,PF17790,MG1
DB00028,BE0003455,P01024,PF07703,A2M_BRD
DB00028,BE0003455,P01024,PF01835,MG2
DB00028,BE0003455,P01024,PF07678,TED_complement
DB00028,BE0004685,P0C0L4,PF00207,A2M
DB00028,BE0004685,P0C0L4,PF07677,A2M_recep
DB00028,BE0004685,P0C0L4,PF01821,ANATO
DB00028,BE0004685,P0C0L4,PF01759,NTR
DB00028,BE0004685,P0C0L4,PF17791,MG3
DB00028,BE0004685,P0C0L4,PF17789,MG4
DB00028,BE0004685,P0C0L4,PF21145,C4_MG1
DB00028,BE0004685,P0C0L4,PF07703,A2M_BRD
DB00028,BE0004685,P0C0L4,PF01835,MG2
DB00028,BE0004685,P0C0L4,PF07678,TED_complement
DB00028,BE0004685,P0C0L4,PF22661,CO4A-B_CUB_C
DB00028,BE0004686,P0C0L5,PF00207,A2M
DB00028,BE0004686,P0C0L5,PF07677,A2M_recep
DB00028,BE0004686,P0C0L5,PF01821,ANATO
DB00028,BE0004686,P0C0L5,PF01759,NTR
DB00028,BE0004686,P0C0L5,PF17791,MG3
DB00028,BE0004686,P0C0L5,PF17789,MG4
DB00028,BE0004686,P0C0L5,PF21145,C4_MG1
DB00028,BE0004686,P0C0L5,PF07703,A2M_BRD
DB00028,BE0004686,P0C0L5,PF01835,MG2
DB00028,BE0004686,P0C0L5,PF07678,TED_complement
DB00028,BE0004686,P0C0L5,PF22661,CO4A-B_CUB_C
DB00028,BE0000855,P01031,PF00207,A2M
DB00028,BE0000855,P01031,PF07677,A2M_recep
DB00028,BE0000855,P01031,PF01821,ANATO
DB00028,BE0000855,P01031,PF01759,NTR
DB00028,BE0000855,P01031,PF17791,MG3
DB00028,BE0000855,P01031,PF17789,MG4
DB00028,BE0000855,P01031,PF17790,MG1
DB00028,BE0000855,P01031,PF21309,C5_CUB
DB00028,BE0000855,P01031,PF07703,A2M_BRD
DB00028,BE0000855,P01031,PF01835,MG2
DB00028,BE0000855,P01031,PF07678,TED_complement
DB00029,BE0000211,P00747,PF00051,Kringle
DB00029,BE0000211,P00747,PF00089,Trypsin
DB00029,BE0000211,P00747,PF00024,PAN_1
DB00029,BE0000538,P02671,PF00147,Fibrinogen_C
DB00029,BE0000538,P02671,PF08702,Fib_alpha
DB00029,BE0000538,P02671,PF12160,Fibrinogen_aC
DB00029,BE0000240,P05121,PF00079,Serpin
DB00030,BE0000033,P06213,PF00757,Furin-like
DB00030,BE0000033,P06213,PF01030,Recep_L_domain
DB00030,BE0000033,P06213,PF17870,Insulin_TMD
DB00030,BE0000033,P06213,PF00041,fn3
DB00030,BE0000033,P06213,PF07714,PK_Tyr_Ser-Thr
DB00030,BE0000858,P08069,PF00757,Furin-like
DB00030,BE0000858,P08069,PF01030,Recep_L_domain
DB00030,BE0000858,P08069,PF07714,PK_Tyr_Ser-Thr
DB00030,BE0001123,P16870,PF00246,Peptidase_M14
DB00030,BE0001123,P16870,PF13620,CarboxypepD_reg
