drugbank_id,interactant_id,polypeptide_id,synonym
DB00006,BE0001075,P05164,1.11.2.2
DB00006,BE0001075,P05164,MPO
DB00008,BE0002433,P05177,1.14.14.1
DB00008,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00008,BE0002433,P05177,CYPIA2
DB00008,BE0002433,P05177,Cytochrome P(3)450
DB00008,BE0002433,P05177,Cytochrome P450 4
DB00008,BE0002433,P05177,Cytochrome P450-P3
DB00008,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00011,BE0002433,P05177,1.14.14.1
DB00011,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00011,BE0002433,P05177,CYPIA2
DB00011,BE0002433,P05177,Cytochrome P(3)450
DB00011,BE0002433,P05177,Cytochrome P450 4
DB00011,BE0002433,P05177,Cytochrome P450-P3
DB00011,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00013,BE0001198,P39900,3.4.24.65
DB00013,BE0001198,P39900,HME
DB00013,BE0001198,P39900,Macrophage elastase
DB00013,BE0001198,P39900,Matrix metalloproteinase-12
DB00013,BE0001198,P39900,ME
DB00013,BE0001198,P39900,MME
DB00013,BE0001198,P39900,MMP-12
DB00018,BE0002433,P05177,1.14.14.1
DB00018,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00018,BE0002433,P05177,CYPIA2
DB00018,BE0002433,P05177,Cytochrome P(3)450
DB00018,BE0002433,P05177,Cytochrome P450 4
DB00018,BE0002433,P05177,Cytochrome P450-P3
DB00018,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00019,BE0000394,P08246,3.4.21.37
DB00019,BE0000394,P08246,Bone marrow serine protease
DB00019,BE0000394,P08246,ELA2
DB00019,BE0000394,P08246,Elastase-2
DB00019,BE0000394,P08246,HLE
DB00019,BE0000394,P08246,Human leukocyte elastase
DB00019,BE0000394,P08246,Medullasin
DB00019,BE0000394,P08246,PMN elastase
DB00022,BE0002433,P05177,1.14.14.1
DB00022,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00022,BE0002433,P05177,CYPIA2
DB00022,BE0002433,P05177,Cytochrome P(3)450
DB00022,BE0002433,P05177,Cytochrome P450 4
DB00022,BE0002433,P05177,Cytochrome P450-P3
DB00022,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00022,BE0002363,P10635,1.14.14.-
DB00022,BE0002363,P10635,Cholesterol 25-hydroxylase
DB00022,BE0002363,P10635,CYP2DL1
DB00022,BE0002363,P10635,CYPIID6
DB00022,BE0002363,P10635,Cytochrome P450-DB1
DB00022,BE0002363,P10635,Debrisoquine 4-hydroxylase
DB00022,BE0002793,P11712,(R)-limonene 6-monooxygenase
DB00022,BE0002793,P11712,(S)-limonene 6-monooxygenase
DB00022,BE0002793,P11712,(S)-limonene 7-monooxygenase
DB00022,BE0002793,P11712,1.14.14.1
DB00022,BE0002793,P11712,Cholesterol 25-hydroxylase
DB00022,BE0002793,P11712,CYP2C10
DB00022,BE0002793,P11712,CYPIIC9
DB00022,BE0002793,P11712,Cytochrome P-450MP
DB00022,BE0002793,P11712,Cytochrome P450 MP-4
DB00022,BE0002793,P11712,Cytochrome P450 MP-8
DB00022,BE0002793,P11712,Cytochrome P450 PB-1
DB00022,BE0002793,P11712,S-mephenytoin 4-hydroxylase
DB00025,BE0000048,P00734,3.4.21.5
DB00025,BE0000048,P00734,Coagulation factor II
DB00025,BE0000380,P04070,3.4.21.69
DB00025,BE0000380,P04070,Anticoagulant protein C
DB00025,BE0000380,P04070,Autoprothrombin IIA
DB00025,BE0000380,P04070,Blood coagulation factor XIV
DB00030,BE0001183,P14735,3.4.24.56
DB00030,BE0001183,P14735,Abeta-degrading protease
DB00030,BE0001183,P14735,Insulin protease
DB00030,BE0001183,P14735,Insulinase
DB00030,BE0001183,P14735,Insulysin
DB00030,BE0002124,P16519,3.4.21.94
DB00030,BE0002124,P16519,KEX2-like endoprotease 2
DB00030,BE0002124,P16519,NEC 2
DB00030,BE0002124,P16519,NEC2
DB00030,BE0002124,P16519,PC2
DB00030,BE0002124,P16519,Prohormone convertase 2
DB00030,BE0002124,P16519,Proprotein convertase 2
DB00030,BE0002125,P29120,3.4.21.93
DB00030,BE0002125,P29120,NEC 1
DB00030,BE0002125,P29120,NEC1
DB00030,BE0002125,P29120,PC1
DB00030,BE0002125,P29120,Prohormone convertase 1
DB00030,BE0002125,P29120,Proprotein convertase 1
DB00030,BE0002433,P05177,1.14.14.1
DB00030,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00030,BE0002433,P05177,CYPIA2
DB00030,BE0002433,P05177,Cytochrome P(3)450
DB00030,BE0002433,P05177,Cytochrome P450 4
DB00030,BE0002433,P05177,Cytochrome P450-P3
DB00030,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00033,BE0002433,P05177,1.14.14.1
DB00033,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00033,BE0002433,P05177,CYPIA2
DB00033,BE0002433,P05177,Cytochrome P(3)450
DB00033,BE0002433,P05177,Cytochrome P450 4
DB00033,BE0002433,P05177,Cytochrome P450-P3
DB00033,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00034,BE0002433,P05177,1.14.14.1
DB00034,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00034,BE0002433,P05177,CYPIA2
DB00034,BE0002433,P05177,Cytochrome P(3)450
DB00034,BE0002433,P05177,Cytochrome P450 4
DB00034,BE0002433,P05177,Cytochrome P450-P3
DB00034,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00035,BE0000262,P35354,1.14.99.1
DB00035,BE0000262,P35354,COX-2
DB00035,BE0000262,P35354,COX2
DB00035,BE0000262,P35354,Cyclooxygenase-2
DB00035,BE0000262,P35354,PGH synthase 2
DB00035,BE0000262,P35354,PGHS-2
DB00035,BE0000262,P35354,PHS II
DB00035,BE0000262,P35354,Prostaglandin H2 synthase 2
DB00035,BE0000262,P35354,Prostaglandin-endoperoxide synthase 2
DB00035,BE0000017,P23219,1.14.99.1
DB00035,BE0000017,P23219,COX-1
DB00035,BE0000017,P23219,COX1
DB00035,BE0000017,P23219,Cyclooxygenase-1
DB00035,BE0000017,P23219,PGH synthase 1
DB00035,BE0000017,P23219,PGHS-1
DB00035,BE0000017,P23219,PHS 1
DB00035,BE0000017,P23219,Prostaglandin H2 synthase 1
DB00035,BE0000017,P23219,Prostaglandin-endoperoxide synthase 1
DB00041,BE0000262,P35354,1.14.99.1
DB00041,BE0000262,P35354,COX-2
DB00041,BE0000262,P35354,COX2
DB00041,BE0000262,P35354,Cyclooxygenase-2
DB00041,BE0000262,P35354,PGH synthase 2
DB00041,BE0000262,P35354,PGHS-2
DB00041,BE0000262,P35354,PHS II
DB00041,BE0000262,P35354,Prostaglandin H2 synthase 2
DB00041,BE0000262,P35354,Prostaglandin-endoperoxide synthase 2
DB00041,BE0000657,P47712,CPLA2
DB00041,BE0000657,P47712,Phospholipase A2 group IVA
DB00041,BE0000657,P47712,PLA2G4
DB00041,BE0002638,P08684,"1,4-cineole 2-exo-monooxygenase"
DB00041,BE0002638,P08684,"1,8-cineole 2-exo-monooxygenase"
DB00041,BE0002638,P08684,1.14.14.1
DB00041,BE0002638,P08684,Albendazole monooxygenase (sulfoxide-forming)
DB00041,BE0002638,P08684,Albendazole sulfoxidase
DB00041,BE0002638,P08684,Cholesterol 25-hydroxylase
DB00041,BE0002638,P08684,CYP3A3
DB00041,BE0002638,P08684,CYPIIIA3
DB00041,BE0002638,P08684,CYPIIIA4
DB00041,BE0002638,P08684,Cytochrome P450 3A3
DB00041,BE0002638,P08684,Cytochrome P450 HLp
DB00041,BE0002638,P08684,Cytochrome P450 NF-25
DB00041,BE0002638,P08684,Cytochrome P450-PCN1
DB00041,BE0002638,P08684,Nifedipine oxidase
DB00041,BE0002638,P08684,Quinine 3-monooxygenase
DB00041,BE0002204,P47989,XDHA
DB00041,BE0003533,P05181,1.14.14.1
DB00041,BE0003533,P05181,4-nitrophenol 2-hydroxylase
DB00041,BE0003533,P05181,CYP2E
DB00041,BE0003533,P05181,CYPIIE1
DB00041,BE0003533,P05181,Cytochrome P450-J
DB00046,BE0002433,P05177,1.14.14.1
DB00046,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00046,BE0002433,P05177,CYPIA2
DB00046,BE0002433,P05177,Cytochrome P(3)450
DB00046,BE0002433,P05177,Cytochrome P450 4
DB00046,BE0002433,P05177,Cytochrome P450-P3
DB00046,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00046,BE0001183,P14735,3.4.24.56
DB00046,BE0001183,P14735,Abeta-degrading protease
DB00046,BE0001183,P14735,Insulin protease
DB00046,BE0001183,P14735,Insulinase
DB00046,BE0001183,P14735,Insulysin
DB00047,BE0002433,P05177,1.14.14.1
DB00047,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00047,BE0002433,P05177,CYPIA2
DB00047,BE0002433,P05177,Cytochrome P(3)450
DB00047,BE0002433,P05177,Cytochrome P450 4
DB00047,BE0002433,P05177,Cytochrome P450-P3
DB00047,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00052,BE0002433,P05177,1.14.14.1
DB00052,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00052,BE0002433,P05177,CYPIA2
DB00052,BE0002433,P05177,Cytochrome P(3)450
DB00052,BE0002433,P05177,Cytochrome P450 4
DB00052,BE0002433,P05177,Cytochrome P450-P3
DB00052,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00052,BE0003536,P33261,(R)-limonene 6-monooxygenase
DB00052,BE0003536,P33261,(S)-limonene 6-monooxygenase
DB00052,BE0003536,P33261,(S)-limonene 7-monooxygenase
DB00052,BE0003536,P33261,1.14.14.1
DB00052,BE0003536,P33261,CYPIIC17
DB00052,BE0003536,P33261,CYPIIC19
DB00052,BE0003536,P33261,Cytochrome P450-11A
DB00052,BE0003536,P33261,Cytochrome P450-254C
DB00052,BE0003536,P33261,Fenbendazole monooxygenase (4'-hydroxylating)
DB00052,BE0003536,P33261,Mephenytoin 4-hydroxylase
DB00060,BE0002433,P05177,1.14.14.1
DB00060,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00060,BE0002433,P05177,CYPIA2
DB00060,BE0002433,P05177,Cytochrome P(3)450
DB00060,BE0002433,P05177,Cytochrome P450 4
DB00060,BE0002433,P05177,Cytochrome P450-P3
DB00060,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00068,BE0002433,P05177,1.14.14.1
DB00068,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00068,BE0002433,P05177,CYPIA2
DB00068,BE0002433,P05177,Cytochrome P(3)450
DB00068,BE0002433,P05177,Cytochrome P450 4
DB00068,BE0002433,P05177,Cytochrome P450-P3
DB00068,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00069,BE0002433,P05177,1.14.14.1
DB00069,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00069,BE0002433,P05177,CYPIA2
DB00069,BE0002433,P05177,Cytochrome P(3)450
DB00069,BE0002433,P05177,Cytochrome P450 4
DB00069,BE0002433,P05177,Cytochrome P450-P3
DB00069,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00071,BE0002433,P05177,1.14.14.1
DB00071,BE0002433,P05177,Cholesterol 25-hydroxylase
DB00071,BE0002433,P05177,CYPIA2
DB00071,BE0002433,P05177,Cytochrome P(3)450
DB00071,BE0002433,P05177,Cytochrome P450 4
DB00071,BE0002433,P05177,Cytochrome P450-P3
DB00071,BE0002433,P05177,Hydroperoxy icosatetraenoate dehydratase
DB00071,BE0001183,P14735,3.4.24.56
DB00071,BE0001183,P14735,Abeta-degrading protease
DB00071,BE0001183,P14735,Insulin protease
DB00071,BE0001183,P14735,Insulinase
DB00071,BE0001183,P14735,Insulysin
DB00082,BE0000549,Q02318,1.14.15.15
DB00082,BE0000549,Q02318,"5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase"
DB00082,BE0000549,Q02318,CYP27
DB00082,BE0000549,Q02318,Cytochrome P-450C27/25
DB00082,BE0000549,Q02318,Cytochrome P450 27
DB00082,BE0000549,Q02318,Sterol 27-hydroxylase
DB00082,BE0000549,Q02318,Vitamin D(3) 25-hydroxylase
DB00082,BE0002240,P15104,6.3.1.2
DB00082,BE0002240,P15104,GLNS
DB00082,BE0002240,P15104,Glutamate--ammonia ligase
DB00082,BE0002240,P15104,GS
DB00082,BE0002240,P15104,Palmitoyltransferase GLUL
DB00082,BE0002638,P08684,"1,4-cineole 2-exo-monooxygenase"
DB00082,BE0002638,P08684,"1,8-cineole 2-exo-monooxygenase"
DB00082,BE0002638,P08684,1.14.14.1
DB00082,BE0002638,P08684,Albendazole monooxygenase (sulfoxide-forming)
DB00082,BE0002638,P08684,Albendazole sulfoxidase
DB00082,BE0002638,P08684,Cholesterol 25-hydroxylase
DB00082,BE0002638,P08684,CYP3A3
