drugbank_id,interactant_id,polypeptide_id,resource,identifier
DB00023,BE0000537,P05543,HUGO Gene Nomenclature Committee (HGNC),HGNC:11583
DB00023,BE0000537,P05543,GenAtlas,SERPINA7
DB00023,BE0000537,P05543,GeneCards,SERPINA7
DB00023,BE0000537,P05543,GenBank Gene Database,M14091
DB00023,BE0000537,P05543,GenBank Protein Database,338697
DB00023,BE0000537,P05543,UniProtKB,P05543
DB00023,BE0000537,P05543,UniProt Accession,THBG_HUMAN
DB00059,BE0000537,P05543,HUGO Gene Nomenclature Committee (HGNC),HGNC:11583
DB00059,BE0000537,P05543,GenAtlas,SERPINA7
DB00059,BE0000537,P05543,GeneCards,SERPINA7
DB00059,BE0000537,P05543,GenBank Gene Database,M14091
DB00059,BE0000537,P05543,GenBank Protein Database,338697
DB00059,BE0000537,P05543,UniProtKB,P05543
DB00059,BE0000537,P05543,UniProt Accession,THBG_HUMAN
DB00070,BE0000530,P02768,HUGO Gene Nomenclature Committee (HGNC),HGNC:399
DB00070,BE0000530,P02768,GenAtlas,ALB
DB00070,BE0000530,P02768,GeneCards,ALB
DB00070,BE0000530,P02768,GenBank Gene Database,V00494
DB00070,BE0000530,P02768,GenBank Protein Database,28590
DB00070,BE0000530,P02768,UniProtKB,P02768
DB00070,BE0000530,P02768,UniProt Accession,ALBU_HUMAN
DB00080,BE0000530,P02768,HUGO Gene Nomenclature Committee (HGNC),HGNC:399
DB00080,BE0000530,P02768,GenAtlas,ALB
DB00080,BE0000530,P02768,GeneCards,ALB
DB00080,BE0000530,P02768,GenBank Gene Database,V00494
DB00080,BE0000530,P02768,GenBank Protein Database,28590
DB00080,BE0000530,P02768,UniProtKB,P02768
DB00080,BE0000530,P02768,UniProt Accession,ALBU_HUMAN
DB00080,BE0000925,P02763,HUGO Gene Nomenclature Committee (HGNC),HGNC:8498
DB00080,BE0000925,P02763,GenAtlas,ORM1
DB00080,BE0000925,P02763,GeneCards,ORM1
DB00080,BE0000925,P02763,GenBank Gene Database,X02544
DB00080,BE0000925,P02763,GenBank Protein Database,757907
DB00080,BE0000925,P02763,UniProtKB,P02763
DB00080,BE0000925,P02763,UniProt Accession,A1AG1_HUMAN
DB00080,BE0000952,P01009,HUGO Gene Nomenclature Committee (HGNC),HGNC:8941
DB00080,BE0000952,P01009,GenAtlas,SERPINA1
