drugbank_id,interactant_id,polypeptide_id,identifier,name
DB00027,BE0001032,P08183,PF00005,ABC_tran
DB00027,BE0001032,P08183,PF00664,ABC_membrane
DB00052,BE0001032,P08183,PF00005,ABC_tran
DB00052,BE0001032,P08183,PF00664,ABC_membrane
DB00067,BE0001069,Q92887,PF00005,ABC_tran
DB00067,BE0001069,Q92887,PF00664,ABC_membrane
DB00080,BE0001032,P08183,PF00005,ABC_tran
DB00080,BE0001032,P08183,PF00664,ABC_membrane
DB00091,BE0001032,P08183,PF00005,ABC_tran
DB00091,BE0001032,P08183,PF00664,ABC_membrane
DB00091,BE0000703,O95342,PF00005,ABC_tran
DB00091,BE0000703,O95342,PF00664,ABC_membrane
DB00091,BE0003643,Q12908,PF01758,SBF
DB00091,BE0003644,Q14973,PF01758,SBF
DB00091,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00091,BE0003651,Q5T3U5,PF00005,ABC_tran
DB00091,BE0003651,Q5T3U5,PF00664,ABC_membrane
DB00091,BE0001069,Q92887,PF00005,ABC_tran
DB00091,BE0001069,Q92887,PF00664,ABC_membrane
DB00091,BE0001067,Q9UNQ0,PF00005,ABC_tran
DB00091,BE0001067,Q9UNQ0,PF01061,ABC2_membrane
DB00091,BE0001067,Q9UNQ0,PF19055,ABC2_membrane_7
DB00091,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00091,BE0001004,Q9Y6L6,PF03137,OATP
DB00091,BE0003659,Q9NPD5,PF07648,Kazal_2
DB00091,BE0003659,Q9NPD5,PF03137,OATP
DB00103,BE0004494,P20645,PF02157,Man-6-P_recep
DB00104,BE0001032,P08183,PF00005,ABC_tran
DB00104,BE0001032,P08183,PF00664,ABC_membrane
DB00104,BE0001069,Q92887,PF00005,ABC_tran
DB00104,BE0001069,Q92887,PF00664,ABC_membrane
DB00107,BE0010032,Q15109,PF13927,Ig_3
DB00107,BE0010032,Q15109,PF08205,C2-set_2
DB00115,BE0000340,Q9BXJ7,PF14828,Amnionless
DB00115,BE0000238,P20061,PF01122,Cobalamin_bind
DB00115,BE0000238,P20061,PF14478,DUF4430
DB00115,BE0000362,P20062,PF01122,Cobalamin_bind
DB00115,BE0000362,P20062,PF14478,DUF4430
DB00115,BE0004690,P27352,PF01122,Cobalamin_bind
DB00115,BE0000936,O60494,PF00431,CUB
DB00115,BE0000936,O60494,PF00008,EGF
DB00115,BE0000936,O60494,PF07645,EGF_CA
DB00115,BE0000936,O60494,PF12947,EGF_3
DB00115,BE0000942,P98164,PF00057,Ldl_recept_a
DB00115,BE0000942,P98164,PF00058,Ldl_recept_b
DB00115,BE0000942,P98164,PF12662,cEGF
DB00115,BE0000942,P98164,PF14670,FXa_inhibition
DB00115,BE0000942,P98164,PF07645,EGF_CA
DB00115,BE0000785,P33527,PF00005,ABC_tran
DB00115,BE0000785,P33527,PF00664,ABC_membrane
DB00116,BE0001069,Q92887,PF00005,ABC_tran
DB00116,BE0001069,Q92887,PF00664,ABC_membrane
DB00117,BE0003654,Q8TF71,PF07690,MFS_1
DB00119,BE0000440,O60669,PF07690,MFS_1
DB00119,BE0000669,P53985,PF07690,MFS_1
DB00119,BE0003654,Q8TF71,PF07690,MFS_1
DB00119,BE0003655,Q92959,PF07648,Kazal_2
DB00119,BE0003655,Q92959,PF03137,OATP
DB00119,BE0000449,O15427,PF07690,MFS_1
DB00120,BE0003654,Q8TF71,PF07690,MFS_1
DB00121,BE0000094,Q9Y289,PF00474,SSF
DB00121,BE0004708,Q8N695,PF00474,SSF
DB00122,BE0003647,O15244,PF00083,Sugar_tr
DB00122,BE0003648,O15245,PF00083,Sugar_tr
DB00122,BE0003650,O75751,PF07690,MFS_1
DB00122,BE0000106,O76082,PF00083,Sugar_tr
DB00122,BE0000757,Q9H015,PF00083,Sugar_tr
DB00122,BE0001059,Q8WWI5,PF04515,Choline_transpo
DB00122,BE0002182,Q53GD3,PF04515,Choline_transpo
DB00122,BE0002183,Q8IWA5,PF04515,Choline_transpo
DB00122,BE0002184,Q8N4M1,PF04515,Choline_transpo
DB00122,BE0000696,Q9GZV3,PF00474,SSF
DB00123,BE0003654,Q8TF71,PF07690,MFS_1
DB00123,BE0000757,Q9H015,PF00083,Sugar_tr
DB00125,BE0000106,O76082,PF00083,Sugar_tr
DB00125,BE0003654,Q8TF71,PF07690,MFS_1
DB00125,BE0000757,Q9H015,PF00083,Sugar_tr
DB00126,BE0000168,Q9UHI7,PF00860,Xan_ur_permease
DB00126,BE0009869,Q9UGH3,PF00860,Xan_ur_permease
DB00126,BE0001057,P11166,PF00083,Sugar_tr
DB00126,BE0004707,P11169,PF00083,Sugar_tr
DB00126,BE0000893,P14672,PF00083,Sugar_tr
DB00127,BE0000757,Q9H015,PF00083,Sugar_tr
DB00127,BE0003648,O15245,PF00083,Sugar_tr
DB00128,BE0003654,Q8TF71,PF07690,MFS_1
DB00130,BE0009870,Q9H2H9,PF01490,Aa_trans
DB00130,BE0009871,Q96QD8,PF01490,Aa_trans
DB00130,BE0000285,Q99624,PF01490,Aa_trans
DB00130,BE0000236,Q15758,PF00375,SDF
DB00130,BE0000423,Q9UN76,PF00209,SNF
DB00130,BE0004769,Q9UM01,PF13520,AA_permease_2
DB00130,BE0009872,Q92536,PF13520,AA_permease_2
DB00130,BE0000222,Q01650,PF13520,AA_permease_2
DB00130,BE0000789,Q9UHI5,PF13520,AA_permease_2
DB00130,BE0002251,P82251,PF13520,AA_permease_2
DB00130,BE0003654,Q8TF71,PF07690,MFS_1
DB00133,BE0003654,Q8TF71,PF07690,MFS_1
DB00134,BE0003654,Q8TF71,PF07690,MFS_1
DB00135,BE0000178,P36021,PF07690,MFS_1
DB00135,BE0003654,Q8TF71,PF07690,MFS_1
DB00138,BE0003654,Q8TF71,PF07690,MFS_1
DB00138,BE0002251,P82251,PF13520,AA_permease_2
DB00138,BE0001130,Q07837,PF00128,Alpha-amylase
DB00139,BE0003645,Q8TCC7,PF00083,Sugar_tr
DB00139,BE0002261,Q9UBX3,PF00153,Mito_carr
DB00139,BE0000022,Q9BZW2,PF00939,Na_sulph_symp
DB00139,BE0000447,Q13183,PF00939,Na_sulph_symp
DB00139,BE0000611,Q8WWT9,PF00939,Na_sulph_symp
DB00140,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00142,BE0003654,Q8TF71,PF07690,MFS_1
DB00142,BE0000669,P53985,PF07690,MFS_1
DB00142,BE0002275,Q9H1K4,PF00153,Mito_carr
DB00142,BE0002276,Q9H936,PF00153,Mito_carr
DB00143,BE0000785,P33527,PF00005,ABC_tran
DB00143,BE0000785,P33527,PF00664,ABC_membrane
DB00143,BE0001069,Q92887,PF00005,ABC_tran
DB00143,BE0001069,Q92887,PF00664,ABC_membrane
DB00143,BE0001061,O15438,PF00005,ABC_tran
DB00143,BE0001061,O15438,PF00664,ABC_membrane
DB00143,BE0001188,O15439,PF00005,ABC_tran
DB00143,BE0001188,O15439,PF00664,ABC_membrane
DB00143,BE0003639,O15440,PF00005,ABC_tran
DB00143,BE0003639,O15440,PF00664,ABC_membrane
DB00145,BE0003654,Q8TF71,PF07690,MFS_1
DB00145,BE0000536,Q7Z2H8,PF01490,Aa_trans
DB00145,BE0002308,Q9H598,PF01490,Aa_trans
DB00145,BE0002310,Q9Y345,PF00209,SNF
DB00145,BE0000940,P48067,PF00209,SNF
DB00148,BE0000106,O76082,PF00083,Sugar_tr
DB00149,BE0003654,Q8TF71,PF07690,MFS_1
DB00149,BE0000178,P36021,PF07690,MFS_1
DB00150,BE0000178,P36021,PF07690,MFS_1
DB00150,BE0003654,Q8TF71,PF07690,MFS_1
DB00151,BE0003654,Q8TF71,PF07690,MFS_1
DB00152,BE0003647,O15244,PF00083,Sugar_tr
DB00152,BE0003648,O15245,PF00083,Sugar_tr
DB00152,BE0000106,O76082,PF00083,Sugar_tr
DB00152,BE0003530,O60779,PF01770,Folate_carrier
DB00152,BE0000963,Q9BZV2,PF01770,Folate_carrier
DB00155,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00156,BE0003654,Q8TF71,PF07690,MFS_1
DB00158,BE0003658,Q96J66,PF00005,ABC_tran
DB00158,BE0003658,Q96J66,PF00664,ABC_membrane
DB00158,BE0001061,O15438,PF00005,ABC_tran
DB00158,BE0001061,O15438,PF00664,ABC_membrane
DB00158,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00158,BE0001188,O15439,PF00005,ABC_tran
DB00158,BE0001188,O15439,PF00664,ABC_membrane
DB00158,BE0001067,Q9UNQ0,PF00005,ABC_tran
DB00158,BE0001067,Q9UNQ0,PF01061,ABC2_membrane
DB00158,BE0001067,Q9UNQ0,PF19055,ABC2_membrane_7
DB00158,BE0001048,Q96NT5,PF07690,MFS_1
DB00158,BE0000730,Q9H2D1,PF00153,Mito_carr
DB00160,BE0003654,Q8TF71,PF07690,MFS_1
DB00161,BE0003654,Q8TF71,PF07690,MFS_1
DB00162,BE0009879,Q9BX79,PF14752,RBP_receptor
DB00163,BE0000189,Q8WTV0,PF01130,CD36
DB00163,BE0000119,O95477,PF00005,ABC_tran
DB00163,BE0000119,O95477,PF12698,ABC2_membrane_3
DB00163,BE0000802,Q9UHC9,PF02460,Patched
DB00163,BE0000802,Q9UHC9,PF16414,NPC1_N
DB00163,BE0000802,Q9UHC9,PF12349,Sterol-sensing
DB00163,BE0000802,Q9UHC9,PF22314,NPC1_MLD
DB00163,BE0001168,P45844,PF00005,ABC_tran
DB00163,BE0001168,P45844,PF01061,ABC2_membrane
DB00163,BE0001168,P45844,PF19055,ABC2_membrane_7
DB00165,BE0003546,P05186,PF00245,Alk_phosphatase
DB00167,BE0003654,Q8TF71,PF07690,MFS_1
DB00168,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00168,BE0003645,Q8TCC7,PF00083,Sugar_tr
DB00168,BE0000879,Q9NSA0,PF00083,Sugar_tr
DB00172,BE0003654,Q8TF71,PF07690,MFS_1
DB00174,BE0003654,Q8TF71,PF07690,MFS_1
DB00175,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00175,BE0001004,Q9Y6L6,PF03137,OATP
DB00175,BE0001042,O94956,PF03137,OATP
DB00175,BE0001032,P08183,PF00005,ABC_tran
DB00175,BE0001032,P08183,PF00664,ABC_membrane
DB00175,BE0003642,P46721,PF07648,Kazal_2
DB00175,BE0003642,P46721,PF03137,OATP
DB00175,BE0001066,Q4U2R8,PF00083,Sugar_tr
DB00175,BE0003645,Q8TCC7,PF00083,Sugar_tr
DB00175,BE0001069,Q92887,PF00005,ABC_tran
DB00175,BE0001069,Q92887,PF00664,ABC_membrane
DB00175,BE0000879,Q9NSA0,PF00083,Sugar_tr
DB00175,BE0001067,Q9UNQ0,PF00005,ABC_tran
DB00175,BE0001067,Q9UNQ0,PF01061,ABC2_membrane
DB00175,BE0001067,Q9UNQ0,PF19055,ABC2_membrane_7
DB00175,BE0003646,Q9Y694,PF07690,MFS_1
DB00175,BE0000669,P53985,PF07690,MFS_1
DB00175,BE0000703,O95342,PF00005,ABC_tran
DB00175,BE0000703,O95342,PF00664,ABC_membrane
DB00175,BE0003659,Q9NPD5,PF07648,Kazal_2
DB00175,BE0003659,Q9NPD5,PF03137,OATP
DB00176,BE0001032,P08183,PF00005,ABC_tran
DB00176,BE0001032,P08183,PF00664,ABC_membrane
DB00176,BE0000703,O95342,PF00005,ABC_tran
DB00176,BE0000703,O95342,PF00664,ABC_membrane
DB00177,BE0003659,Q9NPD5,PF07648,Kazal_2
DB00177,BE0003659,Q9NPD5,PF03137,OATP
DB00177,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00177,BE0001004,Q9Y6L6,PF03137,OATP
DB00177,BE0001069,Q92887,PF00005,ABC_tran
DB00177,BE0001069,Q92887,PF00664,ABC_membrane
DB00178,BE0001018,P46059,PF00854,PTR2
DB00178,BE0001134,Q16348,PF00854,PTR2
DB00182,BE0003650,O75751,PF07690,MFS_1
DB00182,BE0000106,O76082,PF00083,Sugar_tr
DB00184,BE0003647,O15244,PF00083,Sugar_tr
DB00184,BE0003648,O15245,PF00083,Sugar_tr
DB00184,BE0003650,O75751,PF07690,MFS_1
DB00184,BE0000106,O76082,PF00083,Sugar_tr
DB00184,BE0000757,Q9H015,PF00083,Sugar_tr
DB00188,BE0001032,P08183,PF00005,ABC_tran
DB00188,BE0001032,P08183,PF00664,ABC_membrane
DB00188,BE0003659,Q9NPD5,PF07648,Kazal_2
DB00188,BE0003659,Q9NPD5,PF03137,OATP
DB00196,BE0001032,P08183,PF00005,ABC_tran
DB00196,BE0001032,P08183,PF00664,ABC_membrane
DB00197,BE0000703,O95342,PF00005,ABC_tran
DB00197,BE0000703,O95342,PF00664,ABC_membrane
DB00197,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00197,BE0001004,Q9Y6L6,PF03137,OATP
DB00198,BE0001188,O15439,PF00005,ABC_tran
DB00198,BE0001188,O15439,PF00664,ABC_membrane
DB00198,BE0001018,P46059,PF00854,PTR2
DB00198,BE0003645,Q8TCC7,PF00083,Sugar_tr
DB00199,BE0003659,Q9NPD5,PF07648,Kazal_2
DB00199,BE0003659,Q9NPD5,PF03137,OATP
DB00199,BE0000703,O95342,PF00005,ABC_tran
DB00199,BE0000703,O95342,PF00664,ABC_membrane
DB00199,BE0001032,P08183,PF00005,ABC_tran
DB00199,BE0001032,P08183,PF00664,ABC_membrane
DB00199,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00199,BE0001004,Q9Y6L6,PF03137,OATP
DB00199,BE0001069,Q92887,PF00005,ABC_tran
DB00199,BE0001069,Q92887,PF00664,ABC_membrane
DB00199,BE0003642,P46721,PF07648,Kazal_2
DB00199,BE0003642,P46721,PF03137,OATP
DB00201,BE0001067,Q9UNQ0,PF00005,ABC_tran
DB00201,BE0001067,Q9UNQ0,PF01061,ABC2_membrane
DB00201,BE0001067,Q9UNQ0,PF19055,ABC2_membrane_7
DB00203,BE0001188,O15439,PF00005,ABC_tran
DB00203,BE0001188,O15439,PF00664,ABC_membrane
DB00203,BE0003639,O15440,PF00005,ABC_tran
DB00203,BE0003639,O15440,PF00664,ABC_membrane
DB00203,BE0003651,Q5T3U5,PF00005,ABC_tran
DB00203,BE0003651,Q5T3U5,PF00664,ABC_membrane
DB00203,BE0001004,Q9Y6L6,PF07648,Kazal_2
DB00203,BE0001004,Q9Y6L6,PF03137,OATP
DB00203,BE0001032,P08183,PF00005,ABC_tran
DB00203,BE0001032,P08183,PF00664,ABC_membrane
DB00204,BE0003647,O15244,PF00083,Sugar_tr
